,弹幕
1,古剑镇宅，黑猫辟邪
2,还是黑猫
3,破伤风宝剑
4,汉代铁剑啊
5,捐博物馆不能摆的会不会被他们卖了？
6,这个猫是真的，是现代的
7,猫猫能有什么坏心思
8,青虹剑
9,哈哈哈哈哈哈
10,我是四米哒
11,蓝猫吧
12,这一米多吧？
13,我相信他说的是实话
14,阿甘左的浪人长剑
15,这一米？
16,值500的破烂
17,凶剑
18,反清复明
19,战士用剑
20,商周的猫 发了
21,始皇帝的
22,五年
23,扯犊子啦
24,猫好肥啊
25,这么长的不会是礼仪用的吧
26,破伤风
27,别了吧，这东西，一般家庭镇不住
28,猫猫好可爱
29,这宝友还没判刑就想跑
30,诛仙古剑
31,废铁：6毛一斤
32,老铁
33,干将莫邪
34,卧槽
35,这猫得是站焊的
36,被人杀得剑就可能断了
37,矿区？
38,英短蓝白满背
39,这喵子是英短？
40,这可不止一米吧
41,这是铁器又不是青铜器，没事儿
42,右边四节
43,在坑区里弄出来的吧
44,解锁新场景【矿区】
45,不是礼剑
46,战剑
47,一米很少见啊。。
48,喵
49,汉剑吧
50,好长
51,实用
52,一寸长一寸强
53,直接说几年吧
54,就是曹操的倚天剑
55,凭什么？
56,辘轳剑
57,明白了是吧，哈哈哈哈哈
58,猫尾抛光
59,可老了，都长猫了
60,大剑啊
61,看起来是只乌云压雪
62,老到长猫了
63,不问价格了
64,汉代的
65,使用？配剑，魏晋正面战场都用刀了
66,猫抢镜了
67,哪里来的猫咪尾巴
68,副本出货了对吧？哪个深渊出的？
69,汉剑啊
70,加加上剑把一米吧，正常刃部分70公分
71,言外之意给博物馆交易可以多卖点
72,猫猫
73,汉剑啊
74,卧槽
75,弄碎了都别想
76,盗墓的吧
77,附魔破伤风
78,好长呀
79,没血气镇不住啊
80,斩马劲卒？
81,何止一米
82,这猫好骚啊
83,不兴放啊这
84,2米吧
85,哈哈哈哈哈
86,这可不兴摆啊宝友
87,看起来是个黑猫
88,猫猫！
89,好长
90,嗯  很老  都长猫了
91,一米可还行
92,妈耶，这可不兴摆啊。
93,古人好高
94,一米
95,快进到直播大粽子
96,很漂亮
97,亿米
98,巴拉巴拉嗯吧巴拉巴
99,猫猫！！！！
100,这TM一米？
101,哈哈哈哈哈哈哈哈哈哈哈哈
102,破伤风大剑
103,好家伙
104,应该是一个8年左右肥波
105,凭什么！！！！
106,老剑条
107,锦旗一张，五百奖金
108,老剑条
109, 这打架用的
110,大剑
111,懂了，意思是博物馆能交易出好价格
112,介猫可不兴盘呀
113,才看一个建议死刑的
114,石中剑
115,洛里安大剑
116,好家伙，越王勾践
117,猪屁股
118,嬴政的剑
119,针不错
120,我有个短的 跟着张的差不多 
121,荆轲刺秦王
122,直接谢谢
123,500
124,黑猫不是吉兆
125,这我家一个短的说实话还在土里插着
126,天天量刑~
127,车轱辘剑
128,死刑吗？
129,这种烂的差不多的给博物馆不亏
130,有猫猫！
131,仪仗剑？
132,脑补出主人的故事，，
133,猫：来呀～大爷～
134,破伤风之剑
135,捐能有钱一样
136,盖尔大剑
137,副本爆的装备
138,死刑起步
139,老剑条，快，让他给你剑气
140,猫：我帮你盘一盘
141,天天量刑
142,勇者之剑
143,大宝剑
144,坐牢
145,这猫可不兴盘啊！
146,经典矿区
147,毛不错
148,焊到尽的
149,这特么一米？
150,狼末
151,猫是真的
152,是站焊的
153,猫猫
154,也可能白给了
155,破伤风附魔
156,3岁
157,……嘶
158,凶器
159,滴血认主就可以激活使用了
160,锦旗
161,罪业大剑
162,洛里安大剑
163,青釭剑！
164,锦旗送上
165,hhhhhh噗
166,汉剑
167,单边刃口有损，应该是劈砍或者格挡所致
168,如果是真的，看形制应该是汉的，中汉
169,发情了
170,这tm是一米
171,大宝剑
172,这是大宝剑
173,?
174,翻新
175,汉代的
176,汉晋铁剑？卧槽
177,我看是西周的
178,破伤风点满
179,捐给。。
180,洛安特大剑
181,哈哈哈哈哈哈哈哈哈哈哈哈
182,？
183,博物馆50块钱加锦旗送走
184,草，放大了还真是盖尔大剑
185,那时候哪有那么长的剑
186,青虹剑，赵云用的
187,猫我带走了
188,天天上交
189,这猫应该是真的
190,朋友
191,三国时期的
192,卧槽
193,卸岭魁首小神锋？
194,阴物害人
195,战汉
196,上周的
197,倒斗就是倒斗扯什么矿区
198,隔着个屏幕就看出来了么？
199,这一刀破伤风，两刀见祖宗
200,博物馆不要这玩意
201,越来越离谱
202,这猫年头久啊，上交吧
203,《矿区》
204,汉代
205,老文盲了，这他妈是一米？
206,应该是一个灰黑色，白jio的猫
207,礼仪用的话没有那么长这个是实战的
208,《朋友在矿区》
209,汉代
210,扫扫灰
211,主要是太旧了，放家里都不好看
212,这个金丝楠的桌面不错
213,铁剑更牛逼
214,剑柄烂光了还是工厂被埋了
215,这猫毛掸子哪里买的啊
216,老师鉴定一下猫值多少
217,这tm是一米？
218,斩马劲卒
219,王负剑?
220,煞气
221,我靠！一米！
222,猫尾是老的
223,老剑条
224,这都要和谐
225,断尾试刀
226,黑猫
227,看标题我啪的一下就进来了
228,越王勾剑
229,姜维自杀的那把剑
230,出土文物都是属于国家的。
231,双手剑
232,白手套的猫猫可爱
233,猫猫给剑扫尘
234,这猫焊的
235,什么破剑，都长猫了
236,这么长
237,估价十年
238,这要是子轩，直接就该不兴摆了
239,老铁没毛病
240,老铁
241,杨过的剑
242,宝友，这可不兴摆啊
243,魔方
244,进去
245,铜镍合金带点铅
246,破伤风之剑
247,在家里可以镇邪。
248,猫不错，建议上交给我
249,猫猫
250,那时候铁器多金贵啊
251,这么长怕不是真三里司马师那把哦
252,猫猫！！
253,一米长……别是老嬴那把剑哟……这么长的铁剑那时候一般人可用不了吧
254,老铁没毛病
255,老铁
256,250块
257,老剑条
258,解锁新场地，矿区是吧？
259,把猫放旁边啊宝友，搁着晃啥呢
260,铁剑都是坑
261,妈耶，这可不兴摆啊。
262,让您看猫呢，您看啥呢
263,有点意思
264,猫不错
265,至少1.5
266,博物馆掏什么钱，谁家博物馆掏钱
267,老铁没毛病
268,哈哈哈哈哈哈
269,不一定能买上什么价格但一定能进去
270,像礼剑
271,西汉
272,老铁 剑。
273,中四年到小五年
274,攻击0-5
275,这尾巴，笑死我我了
276,见角色辨真假
277,哎呦，妈耶。这可不兴放啊
278,黑猫辟邪方便下墓？
279,铁的
280,这可不兴摆啊 宝友
281,这磕
282,破伤风之剑
283,博物馆转手就融了
284,扫扫灰
285,王负剑
286,我一直在看猫尾巴
287,八面汉剑
288,这东西可不要招摇，无论真假
289,？？？？
290,老铁
291,。。。
292,我的妈，这个值钱啊
293,不兴戴
294,问题这东西腐蚀严重没啥经济价值，放家里也不美观
295,不兴戴啊
296,卧槽
297,这特么叫一米？
298,可以留着就留着呗
299,哈哈哈哈
300,卧槽，我看有1.5米
301,王负剑
302,铁剑保存到现在比买彩票中奖稀奇
303,汉代的猫猫
304,牛
305,上一个看剑的，已经进去了
306,几年？
307,500块钱加个锦旗
308,这么长不容易断吗
309,盖尔的剑
310,挺好的镇宅辟邪
311,成精了
312,魔友啊
313,震惊
314,曹老板的倚天剑？
315,三年警告
316,站焊的东西
317,这尾巴。。。吓我一跳
318,女生
319,确定不是晒猫的？？
320,一米5了
321,上交博物馆也就50块钱的锦旗一个，还不如传宗接代呢
322,破伤风打击
323,这尾巴有1m长
324,老铁
325,你管这叫一米？
326,这是一米？
327,不止一米吧
328,也不一定，可能被人杀过
329,站焊滴
330,猫：上辈子我曾拿着这把剑……
331,汉代的
332,只注意猫尾巴了
333,捐给博物馆 然后去看还得掏钱
334,哎呦～宝友这可不兴玩
335,来了
336,银剑
337,好家伙，秦王的剑
338,斩马剑？
339,石中剑
340,大宛
341,煞气太重，不适合放
342,杀过人更好
343,小心会诈剑
344,这是老铁啊(doge)
345,妈耶，那可不兴摆呀
346,肥波
347,猫猫
348,大肥屁股
349,哎呦喂，这可兴带
350,折戟沈沙铁未销，自将磨洗认前朝
351,最喜欢听这个bgm
352,煞器
353,青釭剑
354,笑死了这个猫
355,猫猫好可爱哦！
356,秦王剑23333333
357,有一只小猫咪
358,这不止一米吧。。
359,但是你卖肯定能进去  管几年饭
360,来击剑
361,好家伙
362,青龙偃月刀
363,站焊的，新进的
364,三国的！
365,高祖斩白蛇用的
366,乌云踏雪？
367,调皮
368,猫猫还有白手套！
369,不兴摆啊
370,猫猫！！！！
371,这玩意1m？
372,猫猫可爱
373,猫猫！
374,Rua
375,看起来是一只猫（doge）
376,哈哈这个猫好可爱
377,热乎热乎
378,猫猫乱入
379,把猫尾巴上交给国家
