,弹幕
1,以前蒸汽火车那白色是什么气？ 这就是蒸汽
2,这么好的配件没枪玩什么？
3,我是老实人，水蒸气是无色的
4,你开枪啊
5,RTX10086
6,这款游戏叫做地球online，已经绝版了
7,基本上他说9千米你除三就是真实的距离
8,这有9公里？
9,这什么游戏？？
10,推荐给大家？
11,你家水蒸气污染环境？​
12,盲猜电站冷却水蒸汽
13,允许射击
14,我想看美女
15,漂亮
16,都有脱硫脱硝的
17,标记了一个地点
18,水蒸气是气体没有颜色~~~
19,为什么我这是黑屏啊。
20,塔科夫有镜子和这很像，但是镜子外观不一样，倍数也不一样
21,顶多三千米
22,9000m？拿测距仪测一下。
23,镜有了，还少点啥
24,这游戏，画面好真实
25,吃鸡出新图了？
26,上个链接
27,买了干嘛用？
28,这好像我家楼上的景色呀
29,Y
30,地球ol
31,这种工厂还能运营？没人举报吗？
32,会不会反光？
33,战地
34,那么在哪里可以买到呢
35,原来狙击枪这么可怕
36,使命召唤16
37,这还真是水蒸气，你以为是什么？
38,核电站？
39,小心烟囱上有吴京
40,在哪里有买
41,人家那是蒸汽。。。
42,大部分是水汽
43,说就是水蒸气的初中文化都没
44,呼叫环保部门
45,cod双狙人
46,cod
47,没枪！要这干嘛？偷窥美女？
48,石家庄ren路过
49,目测一千米
50,逃离塔科夫
51,呃，学校食堂的bgm
52,买
53,什么游戏？空调能玩吗
54,还不如我的p30p放的清楚
55,牛
56,我也想买一个
57,两公里？？  您是没有走过路吗
58,就是水蒸气
59,Cod新地图
60,请问这游戏哪里买
61,啊，我的眼好憋
62,水弹怎么打几千米
63,求链接
64,那买的啊
65,不可能
66,附近有武装地区给你脑门一个红星
67,国内老百姓要他有啥用
68,1.5公里
69,你们怎么就知道不是九千米?就硬黑
70,没枪有个屁用
71,这样就可以少烧煤了
72,觉得污染严重的以后少用点电
73,摇摆杨光学
74,小心烟囱上有吴京
75,tmd，火电厂的本来绝大部分就是水蒸气
76,电厂？
77,透光率多少
78,GTA6
79,有使命召唤战区的感觉
80,我还以为这是游戏。
81,有脚架，所以稳吧
82,国内必违法
83,国企吗？
84,这东西wf的吧
85,这啥游戏啊
86,在哪可以买
87,水蒸气是不可见 云是小水珠
88,我就问问这个推荐给我干嘛用呀！
89,水蒸气是无色无味的啊，云也不是水蒸气啊
90,真实情况下，倍镜移动目标就没了
91,我要这么个镜子干啥？
92,装在吹风机上？
93,买来干嘛？
94,这大概也就2公里吧
95,谁告诉你云是水蒸气的，云是水气凝结的液滴好吧
96,好稳，游戏骗我
97,新年快乐
98,嗯....你这有雾霾应该和烟囱没关系吧
99,国内合法玩枪的地方子弹价格翻二十倍，不是玩不起是玩着恶心
100,水蒸气人看不见…
101,水蒸气是白色笑了，目测初中没毕业
102,针不戳
103,这个成像真的牛逼！
104,冷凝塔确实是水蒸气，但是这个蓝白相间的是烟囱啊
105,突击者之眼
106,这么好的镜子装哪里？
107,塔科夫
108,前面吐槽水蒸气是白色的是tm没见过云吗 
109,这游戏画质好啊
110,这游戏画质好啊
