,弹幕
1,我不是很擅长（指一般人做不到
2,突然想到艾莎的几十万根头发。。
3,字幕君提示：正片8:18秒
4,全...全英文？？！（好厉害
5,我头上有犄角
6,突然感觉那个杰克和肉丝动画也很不容易
7,孕妇群hhhhh
8,等模型的头发做好了，自己的头发就没了
9,培训班出来后我只会调动画，建模一般，后续都不会，只会调动画，还很一般
10,绑定的不知道adv 确实 该哭。
11,额.......
12,不擅长
13,不擅长……
14,让我彻底死心了
15,ohhhhhhhhhhh
16,裘千仞
17,空降 8:18
18,空降 8:18
19,8:18  空降
20,一边梳头发一边掉头发
21,CAT
22,好可爱呀哈哈哈！
23,太厉害了
24,ohhhhhhhhhhhhhh
25,好看！
26,辛苦了！
27,完    善   亿   下
28,好看诶！
29,ohhhhhhhhhh
30,o h h h h h h h h h h h h h h h h h
31,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
32,ohhhhhnb的
33,哈哈哈哈
34,啊哈
35,这跟我熟悉的Ae有点儿像
36,好棒啊！
37,第一眼看到的时候我直接倒吸一口凉气，这个姐姐实在是太好看了！
38,up超棒！！
39,权重
40,十三娘
41,我并不知道我看了什么⊙_⊙
42,辛苦了
43,眼睛瞪的像铜铃23333
44,哇
45,哈哈哈哈哈哈哈哈
46,妈呀
47,哇，好棒！
48,辛苦了！！！
49,这首是Late Night Melancholy，但原曲是MELANCHOLY，原版调子低一点
50,大神啊
51,你我皆是k帧人
52,太棒了吧！！！！
53,好好看
54,好丑
55,怪不得艺画开天那么鸽
56,自己的作业自己做
57,C4D比Maya简单点
58,这是你们喜欢的大长腿吗
59,不就是补间动画
60,核城
61,好厉害！！
62,好看唉
63,阔以
64,辛苦了
65,卧槽！姐姐杀我！！！
66,看完这个视频我决定去学画画(狗头)
67,天不错哦
68,ohhhhhhhhhhhhh
69,ohhhhhhh
70,期待成品
71,好像啊太美了
72,好惨啊辛苦了
73,想问bgm是啥
74,辛苦啦
75,真麻烦
76,感觉好麻烦
77,好看诶
78,只要了
79,感觉很难
80,66666
81,卧槽
82,好好看
83,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
84,这up也真是凡尔赛
85,哪吒！
86,奇行种骨架选哪种？
87,奇行种骨架选哪种？
88,《完 善 一 下》
89,妈咪手哈哈哈哈
90,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
91,哈哈哈哈哈哈哈哈哈哈哈哈哈
92,辛苦了
93,杀马特爱了这发型
94,自动丰胸就很Cao
95,ohhhhhhhhhhh
96,我只会pr
97,好难辛苦了
98,好好康！！！！！
99,可以3渲2
100,比那些三年动画好太多了
101,想起了S
102,哈哈哈哈哈
103,好好看
104,好看
105,投币了，真本事这是
106,md，nuke后期说自己不擅长。ae枯了
107,哈哈哈哈哈哈
108,哈哈哈哈哈哈哈
109,红红火火恍恍惚惚
110,哈哈哈哈哈哈哈
111,哈哈哈哈哈哈哈
112,哈哈哈哈
113,辛苦了
114,求bgm！！！！
115,确实很光滑
116,哈哈哈哈哈哈哈哈
117,哈哈哈哈哈哈哈哈哈哈
118,woc
119,我天，原来建模这么不容易，我得体谅一下游戏的建模师了。
120,我想学3D建模了
121,这标志是 核 城 吧
122,bgm好评
123,亿点点细节
124,辛苦了，
125,牛逼
126,卧槽，牛皮！
127,正片开始
128,ohhhhhhhhhhhhhhh
129,棒棒哒
130,哈哈哈
131,nb！
132,拓扑
133,这次一定
134,哈哈哈哈哈
135,太麻烦了吧
136,哈哈哈哈哈哈
137,棒
138,不得了不得了
139,卧槽
140,起了一地鸡皮疙瘩
141,ohhhhhhhhh
142,好厉害的样子
143,看着都头疼
144,辛苦了
145,ohhhh 
146,也就
147,海贼王？？？
148,阿婆主好厉害！
149,给低模拓扑是为什么啊……
150,我也头疼
151,好棒
152,还是blender香
153,好厉害
154,魔法！！
155,突然就美了
156,从入门到放弃
157,ohhhhhhhhhhhhh！！！！！！！！！
158,竹节虫！？
159,《流畅》
160,忍不住...想纠正....念拓ta，第四声
161,哇好流畅啊我的妈
162,哇（好棒
163,？你管这叫完善一下？
164,bgm:Melancholy
165,ohhhhhhh
166,好好看啊
167,好好看！
168,好好看
169,女子美
170,好棒
171,哈哈哈哈哈哈哈哈哈
172,哈哈哈哈哈哈哈
173,哈哈哈哈哈哈哈哈
174,hhhhh
175,这段BGM是什么
176,哈哈哈哈哈哈哈
177,hhhhh
178,天哪，短短几秒竟然这么耗力，辛苦了
179,ohhhhhhhhhhhhhhh
180,哈哈哈
181,前方高能预警
182,好看
183,2D动画也不是一帧一帧画的，可以补帧
184,郭本尼
185,太厉害了
186,太辛苦了！！
187,看的我都累死了
188,哈哈哈哈哈哈哈哈哈哈哈哈
189,好强啊啊啊啊!!!!!!
190,国漫之光
191,好几个月就做了一分钟 辛苦了！！！！！！！
192,好棒啊
193,腿好像橡胶材质
194,辛苦了
195,ohhhhhh
196,哈哈哈哈哈
197,哈哈哈哈哈
198,哈哈哈哈哈哈
199,哈哈哈哈哈哈哈哈
200,8:18
201,好好看！
202,哈哈哈哈哈哈哈
203,好好看！！！
204,好看！！
205,ohhhhhhhhhhhhhhhhhhhhhhh
206,《料理鼠王》
207,感觉up的语气透着一股生无可恋
208,又是这个BGM ill
209,哈哈哈
210,太厉害了
211,辛苦了啊啊，好厉害
212,哈哈哈哈哈弹幕被骗了
213,好厉害
214,辛苦了
215,电脑燃起来了
216,ohhhhhhhhhhhhhhhh
217,好漂亮
218,我滴妈
219,我吓到了
220,我觉得，好像，还要学医…？
221,我的电脑听了这句死机了（doge
222,注意右边桌子底下，很细节！
223,卧槽  大神啊
224,牛批的UP主
225,ohhhhhhhhhhhhhh
226,美女欸
227,哈哈哈哈哈
228,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
229,厉害
230,辛苦了up主！
231,红红火火恍恍惚惚
232,十三娘吗（第五粉乱入）
233,厉害
234,分专业那年，死死的跳开了三维
235,推荐blender
236,我不是很擅长（指一般人做不来）
237,好痛
238,医学专业直呼内行啊
239,恶梦
240,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
241,先哇为敬
242,哇哇哇(・◇・)
243,哇
244,杂毛
245,有点像定格动画
246,牛
247,正片开始
248,ohhhhhhh
