,弹幕
1,这么便宜？
2,武汉蔡甸的吧？
3,一眼假
4,哈哈哈哈哈
5,售后服务
6,贫穷使人精神失常做白日梦
7,换套房
8,可以找门路以物换物
9,不能卖
10,又是五年
11,赐的吧
12,上周的
13,直接说真假啊 屁话多
14,爷爷土都没擦
15,武汉四环才能一万…
16,一万买郊区都买不到了
17,自家产品
18,象牙的？
19,工地套装
20,祖传
21,人一万是城郊
22,怎么跟头骨盖儿似的。
23,一眼假
24,祖传还能有差不多吗？
25,差个万啊老师
26,不是吧，我们这18线小城市都一万多
27,祖传的还带土？
28,这个我都认识哈哈哈，最常见的骗局。
29,套装
30,武汉郊区？
31,武汉一万？我小县城都一万一
32,三十一个，摸多了不长个
33,哈哈哈哈
34,现代工业的馋赤品
35,好假
36,六个钱包
37,完了，集团货
38,售后服务平台
39,工地造型
40,工地系列
41,工地老头套装
42,红红火火恍恍惚惚哈哈哈哈哈哈哈
43,哈哈哈哈
44,工地大开门
45,吹吧
46,一万是江夏，市中心更贵
47,哈哈哈哈哈
48,套装
49,我都认识这个菩萨了
50,这么便宜
51,哈哈哈哈哈哈哈
52,？住在郊区？我们都三四万了
53,哈哈哈哈
54,.
55,你这东西是你爸的
56,找董事长看你就应该知道结果
57,哈哈哈哈哈哈
58,集团来的
59,一看就老工地了
60,哈哈哈 集团产品
61,???坐标衡水(五线）现住房二手参考价1.15w
62,哈哈哈
63,没羊啊
64,套装
65,。。。。。
66,这么便宜？？
67,树脂
68,？？？？
69,大理石
70,哈哈哈售后
71,武汉一万下不来
72,假的吧，和地摊货好像
73,象牙雕？
74,哈哈哈哈哈哈哈
75,售后可还行
76,哈哈哈哈哈
77,一点都对
78,哈哈哈哈哈哈
79,工地大开门
80,卧槽
81,工地套装……
82,现代工艺残次品
83,哈哈哈哈哈哈哈哈
84,哈哈哈
85,鹤岗买房吧
86,？？？
87,老祖传了
88,？？？
89,他们说的是一平米
90,专业对口
91,古玩吧吧宝
92,这碗里还有纹路啊
93,你爷爷工地的吧
94,没错，都是从我这来的。
95,说的没错，都是从我这儿来的。
96,焊锅？
97,乾隆年制，还没我刻的好
98,售后可太秀了
99,这么便宜吗房价
100,武汉现在100万的房都非常偏远，繁荣地段也要300万了
101,售后？？
102,哈哈哈哈哈哈哈哈哈哈哈哈好
103,哈哈哈哈哈哈
104,块哈哈哈哈哈
105,工地老头系列
106,还再插一刀哈哈哈哈哈
107,笑死我了，差点就说：我捏出来的。
108,怎么感觉像骨制品呢
109,自己集团的
110,武汉一万？你这距离到武汉还要开一会儿车咧
111,哈哈哈哈
112,怎么别我福建县城还便宜。。
113,武汉工地
114,有没有送一个动人的故事？
115,十有八九就是编了个理由。
116,假
117,象牙交易不了
118,哈哈哈哈这个观音我已经见到好多次了
119,这么便宜？？
120,一眼工地
121,工地套
122,一万是郊区了
123,？？？？？？
124,我爸买了个一模一样的碗
125,我在武汉咋不知道一万，那都偏到哪里去了
126,我三线两万五
127,工地
128,老头专卖
129,工地爷爷
130,？？？才一万多？我这种广东五线小城都2万。。。
131,真好
132,23333
133,我也武汉的四万多
134,买月饼送的
135,房子再怎么值钱也不如传家宝保值
136,1w那得很偏的了
137,工地
138,工地老头
139,233333
140,哈哈哈哈哈哈
141,这车痕
142,哈哈哈哈哈哈
143,工地套装
144,董事长
145,郊区
146,工地老头三件套
147,哈哈哈哈哈哈哈哈哈哈哈哈
148,哈哈哈哈哈哈哈哈哈哈哈哈笑死
149,工地老头
150,够买个把手
151,8块
152,？？武汉房子那么便宜吗？
153,三十一个哈哈哈哈哈
154,工地集团
155,工地
156,哈哈哈哈哈哈
157,高地套餐
158,我也有个
159,一眼工地
160,工地三件套
161,牙雕不能交易吧？
162,专业对口
163,专业对口
164,听到观音的时候，我就感觉情况不太对了
