,弹幕
1,老粉丝占位置
2,瑞思拜
3,已经设为浏览器主页
4,s牛壁
5,感谢，加油，祝好~
6,冲
7,牛
8,良心
9,狂神加油
10,加油
11,感谢狂神
12,缺少官方组织
13,csdn?
14,@羊羊君
15,哇！！！！！！！！！！！！！！！！！！
16,加油
17,好人一生平安!
18,牛批
19,牛！
20,爱了爱了
21,KUANG狂KUANG
22,有高中知识吗？
23,加油
24,知乎？
25,厉害
26,啊啊啊我们的征途是星辰大海
27,加油
28,首页通知书
29,期待你们网站更快发展。
30,欢迎来到收藏和赞一样多系列
31,欢乐家园
32,666！
33,好人一生平安健康
34,良心up
35,加油
36,雷锋同志你好！salute！
37,牛逼
38,冲鸭
39,牛逼克拉斯
40,加油
41,爱了爱了
42,虽然我不懂可能一辈子也不会打开这个网页，但是我给你三连支持希望可以帮到更多人
43,冲冲冲
44,.nb
45,冲冲冲
46,三连再说
47,66666
48,冲呀
49,如何盈利呢？
50,曝(pu)光
51,哇塞！~~~
52,爱了
53,那就多发点弹幕吧
54,加油
55,github？
56,原来你也玩原神
57,牛蛙
58,爱了爱了
59,加油
60,加油
61,UP主加油
62,话说大了，每个想学习知识的人，涉及范围太广了，你提供不了
63,手机有吗？
64,来了，支持
65,辛苦了
66,没懂，有啥特殊的吗这个网站。看看wiki不就行了。
67,已三连
68,谢谢大佬
69,谢谢大佬
70,辛苦了
71,恭喜恭喜！！！
72,有绘画教程吗
73,...
74,冲
75,加油
76,终于来了！！！
77,kuangStudy
78,赞币收藏差不多系列
79,牛
80,leetcode，看着脑壳痛
81,up主加油！
82,这好像没我要学的pr ps ae 
83,牛逼
84,牛哇牛蛙
85,只喊是牛逼！
86,加油！！！！
87,冲鸭
88,辛苦啦
89,好家伙，爱了爱了
90,加油，感谢你们
91,利他66666
92,加油！
93,666
94,爱辽爱辽
95,首页通知书
96,别被骗了
97,太强了呀
98,有庄嘛，哈哈哈
99,不是B站的呢
100,冲鸭
101,加油
102,kuangstudy是什么意思
103,我卡了
104,厉害
105,所以，这和csdn差不多嘛
106,保护保护
107,冲鸭
108,。
109,登录不上啊
110,太棒了
111,白求恩
112,骗钱开始了
113,加油
114,见到的第一个收藏此币和赞还高的
115,加油
116,啊啊啊
117,先点赞，投币
118,厉害
119,网页版首页通知书
120,有捐献的链接么？！就像sci-hub一样！！！！
121,厉害！！！！
122,牛皮
123,冲
124,三连交学费了
125,CSDN
126,666
127,你特么给我收钱快点我不想以后看广告看你堕落
128,我反手一个三连
129,来了来了
130,阔以
131,不三连过意不去
132,冲鸭
133,热泪盈眶
134,已三联
135,冲鸭！
136,i了i了
137,太牛逼了
138,太赞了吧
139,chegg？
140,冲冲冲
141,感谢感谢
142,看评论，我准备再投两个币
143,可以可以！
144,收藏
145,加油！
146,三连三连！
147,冲鸭
148,加油
149,加油
150,加油
151,冲鸭！！
152,话说大了，每个想学知识的人，种类太多了，你们提供不了
153,加油！！！
154,谢谢，辛苦啦
155,自言的最纯净的
156,臉書
157,。。。面書
158,冲鸭
159,所以一定要实名认证，当他发一些不友好的东西的时候，可以。通过他的实名认证追踪他
160,就怕被不友好的人利用网站发不友好的东西
161,辛苦了
162,三连支持一下，感觉会比较艰难，加油
163,我也是开学前一天才看到
164,牛
165,狂喜
166,牛皮
167,冲鸭！
168,所以为什么我开学前一天看到这个
169,我的生日上线的呜呜呜qaq
170,来了
171,哇塞好棒
172,辛苦了
173,辛苦啦！
174,大神
175,ohhhhhhh
176,支持你
177,ohhhhhhhhhhh
178,会不会有侵权问题
179,冲鸭
180,谢谢
181,谢谢老板老板大气老板身体健康
182,大家江湖见
183,冲冲冲冲冲冲冲冲冲冲冲冲冲冲冲冲冲冲
184,我直接上这网站去
185,这不就是新的哔哩哔哩么
186,CSDN去广版
187,辛苦了
188,666666
189,冲鸭
190,冲呀
191,冲
192,吾辈楷模
193,谢谢你们
194,真棒！！！感谢！
195,加油
196,冲
197,牛逼
198,辛苦了
199,csdn？
200,加油！
201,知乎直呼内行
202,666
203,respect
204,66
205,太棒了
206,入股了，分红不，兄嘚
207,内容是学校体系就算了
208,哇哦
209,不由自主的双击
210,果断三连
211,冲鸭
212,5G时代的到来，希望up主成为在一个成为下一个大佬，愿不忘初心
213,什么时候用
214,首页来的 感觉很牛批
215,？
216,白嫖党到此一游
217,能否白嫖
218,能否白嫖 才能决定是否优秀
219,冲鸭
220,冲呀！！！
221,已注册，太强了
222,免费吗？
223,加油
224,三连集合
225,爱了
226,好东西啊！
227,优秀
228,实验楼
229,实验楼翻版
230,三连有了
231,救国救民
232,SVIP抱歉
233,NB
234,冲冲冲！
235,我进来就是一个关注加三连
236,支持！
237,我要自学网？
238,牛
239,牛啊！
240,加油
241,直接三连
242,666
243,六六六
244,1111
245,没有python教学吗
246,冲冲冲
247,哇～三连入伙～
248,冲鸭
249,登录超时
250,好人一生平安
251,好厉害!
252,我的旅途从温州到日本
253,恩厉害
254,360就算了吧
255,牛逼！
256,谢谢！
257,加油
258,辛苦了
259,收费啊，那没事了
260,三连了
261,QQ日志哈哈
262,这个好啊
263,防辐射
264,厉害了
265,请问是免费的吗？
266,入股了入股了
267,冒泡
268,哇！！！
269,三连了 ， 加油！！
270,点弹幕
271,狂神牛逼
272,阿狂牛逼！！！
273,已三连，算入股了
274,赞赞赞
275,收藏夹吃灰吧
276,入股
277,下次一定
278,牛
279,加油加油
280,冲冲冲
281,三连了！
282,加油加油
283,感谢贡享者QAQ
284,《VIP》
285,好人一生平安
286,加油老哥！
287,入股了
288,完成入股
289,直接收藏
290,好家伙
291,编程学习吧 
292,群星？？？
293,网站关了
294,马了
295,谢谢
296,太棒了！
297,崩啦，那不看了
298,冲啊
299,去收藏夹
300,6666
301,冲冲冲
302,js
303,必须三连
304,csdn好评
305,冲冲冲
306,虽然我没现在没时间学，但币还是要给的。
307,冲
308,顶住
309,牛逼
310,必须投币，太赞了
311,冲冲冲！！
312,牛逼阿！！！
313,投币
314,太棒了
315,这点赞、收藏、投币数，怕不是都是三连
316,首页通知书
317,人一胎十个，个个男孩
318,冲鸭
319,太好了吧
320,必须三连
321,入股
322,老哥加油，
323,厉害
324,js哈哈哈哈哈  
325,有APP吗
326,加油！
327,进我的收藏夹吃灰
328,属实牛逼
329,加油！
330,干掉万门大学吗？
331,支持
332,罕见的点赞投币收藏几乎1：1：1
333,超爱
334,搜到网页版的，是不良软件！
335,搜不到！
336,加油
337,好人一生平安
338,牛
339,牛
340,刷波狂
341,厉害
342,三连支持
343,芜湖
344,我记得以前用的青果和这个差不多，不过我高中就没有了。。。
345,我记得以前的青果就是这样不过有的收费。。。
346,入股入股
347,模仿家里蹲大学
348,优秀啊
349,请收下我的膝盖
350,谢谢
351,altruistic！
352,弹幕
353,三连入股
354,好耶
355,这个好欸
356,三连
357,感动
358,我好想投资个几百万，可惜不是王多鱼
359,好人一生平安
360,多发弹幕
361,三联冲冲冲
362,冲冲冲
363,khan academy？
364,加油！
365,这界面仿的b站啊
366,加油呀
367,入股了入股了
368,加油
369,首页通知书
370,首页通知书
371,csdn?
372,冲
373,加油
374,网站崩了
375,牛逼！
376,我靠
377,纯净直接
378,点赞！
379,加油
380,看了这个视频，我觉得我重新看到了希望。大爱狂神，人生导师!!!!!
381,厉害厉害
382,666
383,厉害
384,加油
385,白嫖失败
386,牛逼
387,来了
388,冲鸭
389,三连了
390,牛阿
391,哇想哦，说的好吸引人
392,可以啊
393,哇
394,网站60帧率好评
395,对对对！up主太对了
396,你币有了
397,估计要没了，可能得要大公司支撑，别
398,手动点赞
399,up主加油！！
400,好家伙，我直接一个好家伙
