,弹幕
1,恭喜你发现宝藏
2,相见恨晚，以前都不知道去哪找
3,报道
4,报到
5,呱
6,呱
7,呱
8,报到
9,这次一定
10,报道
11,呱
12,刮
13,瓜
14,报道
15,报道
16,这次一定！
17,呱呱呱
18,这次一定
19,呱
20,报道
21,每个站都进去研究了一番，实用性较强！
22,报道
23,报道
24,收藏比前两个都多
25,报道
26,瓜
27,走成华大道。
28,报道
29,报道
30,报到
31,到报
32,呱
33,到
34,呱
35,刮
36,请你冷静一下
37,报到
38,报道
39,呱呱呱
40,报到
41,报道
42,不扣
43,下次一定 已经安排了
44,报道
45,咕咕咕
46,666666
47,我以为鬼呢。。
48,呱呱呱
49,哈哈哈
50,这些。。。不太用哎
51,哈哈哈哈
52,报道
53,维基百科
54,瓜
55,报道
56,呱
57,这次一定
58,报道
59,呱
60,报道
61,报道
62,报到
63,口瓜
64,报道
65,报道
66,呱呱
67,报道
68,哇
69,下次一定
70,报到
71,呱
72,报道
73,呱呱呱
74,呱
75,呱
76,呱
77,报道
78,呱
79,呱
80,孤呱
81,呱
82,报道
83,报道
84,报到
85,报到
86,报道
87,呱呱呱
88,夸克
89,报道
90,报道
91,浏览器
92,进我收藏夹吃灰去吧
93,呱
94,呱呱
95,呱呱
96,呱呱呱呱呱
97,呱呱呱
98,报道
99,报道！
100,呱
101,报道
102,浏览器
103,医药行业
104,报到
105,报到
106,报道
107,挂
108,俺也是18。刚刚大学毕业了
109,报道
110,孤寡孤寡孤寡
111,choice
112,报道
113,互联网
114,报到
115,报的
116,可惜我看不懂外文
117,呱啊啊～
118,报道
119,收藏夹里去吧
120,讲真没什么用 平时绝不会从这里面下数据
121,报道
122,喵
123,报道
124,有用
125,呱
126,去收藏来吃灰吧
127,报到
128,慕课
129,报到
130,报到
131,报道
132,呱
133,呱
134,报道
135,报道
136,报道
137,瓜
138,宝岛
139,wiki
140,报道
141,我进来就想查个片
142,呱呱……魔性
143,十八岁博士！！可以啊少年
144,呱呱呱
145,报道
146,收藏比点赞多就离谱
147,gua
148,报到
149,报道
150,瓜瓜呱
151,报道
152,呱
153,报道
154,瓜
155,报道
156,瓜
157,我13
158,报道
159,呱呱呱
160,刮
161,呱
162,报道
163,呱
164,报到
165,这次一定
166,报道
167,呱呱呱
168,呱
169,报到
170,报到
171,呱
172,报道
173,报道
174,哈哈哈哈哈
175,报到
176,报到
177,收藏走人再见
178,瓜
179,呱
180,这次一定，已经三连了
181,这数据拿来干嘛？我又不是公务员
182,报道
183,浏览器，搜索引擎
184,浏览器，搜索引擎
185,网络
186,浏览器
187,呱
188,报道
189,呱
190,报到
191,呱
192,报道
193,呱
194,收藏夹吃灰吧
195,呱
196,报到
197,呱
198,报道
199,报道
200,呱
201,呱
202,报到
203,呱
204,呱
205,报道
206,呱
207,报道
208,报道
209,到二仙桥
210,软文广告
211,下次一定
212,报到，报到
213,到报
214,报道
215,报道
216,报道
217,报道
218,学
219,报到
220,娃儿
221,个瓜
222,呱呱
223,呱
224,呱
225,报道
226,呱
227,呱
228,下次一定
229,报到
230,各种浏览器
231,报道
232,报道
233,这个好耶
234,瓜
235,报道
236,瓜
237,呱
238,估计是老标题了
239,呱?！
240,呱
241,呱
242,报道
243,报到
244,瓜
245,报道
246,呱呱呱~~~~~~
247,呱
248,呱
249,报到~！！！
250,呱
251,报到
252,报道
253,报到
254,UP做个视频都在收集数据 专业啊
255,呱
256,呱
257,报道
258,呱
259,报道
260,报道
261,呱
262,报道
263,用不到系列
264,666
265,呱
266,咕
267,呱
268,呱呱呱
269,呱呱
270,呱
271,报道
272,报道
273,呱呱
274,呱
275,呱
276,报道
277,呱
278,报道
279,报道
280,报道
281,抓鸭子
282,孤寡
283,呱
284,Bloomberg
285,这次一定
286,哔哩哔哩
287,刮
288,这个要付费的
289,报到
290,呱
291,报到
292,呱
293,报道
294,wind
295,额
296,报道
297,报道
298,狐
299,成华大道
300,呱
301,报道
302,挂
303,报道
304,瓜
305,下次一定
306,报道
307,你三连有了
308,咕呱
309,呱!
310,报到
311,报道
312,呱
313,我直接好家伙 
314,教练，我想学这个 
315,报到
316,gua
317,baodao
318,呱呱
319,呱
320,2
321,谷歌
322,呱
323,呱
324,呱
325,呱
326,底部进度条好酷
327,挂
328,瓜
329,瓜
330,报到
331,报到
332,谷歌
333,搬到
334,已经三连了
335,呱呱呱
336,瓜
337,呱
338,报道
339,报道
340,报道
341,呱
342,乌兹别克斯坦汽车车型销量就查不到
343,2333
344,Gua
345,已经投币
346,报道
347,呱！
348,呱
349,呱
350,报道
351,呱
352,呱呱呱
353,呱呱呱
354,报道
355,CNNK，房天下好评!
356,问:分折与处理数据的方法论哲学与工具集有哪些
357,呱
358,好的，下次一定
359,呱呱呱呱
360,报道
361,报道
362,16岁博士后
363,哈哈
364,1
365,娃子
366,报道
367,呱
368,呱
369,呱
370,报道
371,呱
372,呱
373,哔
374,挂
375,呱
376,报道
377,报到
378,呱
379,瓜
380,报道
381,瓜
382,呱
383,报到
384,我想查河南省考报名人数
385,报到
386,报道
387,呱
388,报道
389,1
390,很喜欢虚伪哥的一句话，过完年三月份一定准时开播很喜欢虚伪哥的一句话，过完年三月份一定准时开播很喜欢虚
391,呱
392,呱
393,报道
394,瓜
395,呱呱
396,呱呱呱呱呱呱瓜
397,呱
398,呱
399,呱
400,呱
401,呱呱呱
402,呱
403,报道
404,寡
405,报道
406,呱呱呱
407,呱呱
408,呱
409,呱
410,呱
411,报道
412,报到
413,1
414,呱
415,报到
416,瓜
417,statista
418,红旗H9牌面
419,程序员协会？？
420,1111
421,呱呱呱 已投
422,呱呱呱
423,瓜
424,呱
425,有没有全国菜价数据
426,呱呱
427,报道
428,呱
429,呱
430,报道
431,报道
432,bgm好阴间啊
433,报道
434,报道
435,呱
436,报到
437,报道
438,已经投币
439,呱
440,报道！
441,瓜
442,呱
443,呱
444,呱
445,呱
446,报道
447,呱
448,房天下的数据水分很大的
449,走成华大道
450,刮
451,1
452,呱
453,呱
454,呱
455,报道
456,呱
457,报道
458,666
459,报道
460,呱呱是你吗
461,呱
462,瓜
463,报道
464,报道
465,呱
466,报到
467,报到
468,呱
469,瓜*2
470,瓜
471,呱
472,进度条好评
473,呱
474,呱
475,呱
476,报道
477,报道
478,完全没用
479,呱
480,五角大楼
481,呱
482,报道
483,瓜瓜
484,呱
485,呱
486,这次一定
487,呱
488,呱
489,2
490,报道
491,哈？
492,技能栏
493,呱
494,这个可以
495,这次一定
496,瓜
497,报到
498,报道
499,报道
500,喵喵喵喵喵报道
501,呱
502,呱
503,呱
504,报道
505,瓜
506,行业数据
507,呱
508,呱
509,呱
510,报道
511,呱
512,抱到
513,学习资料
514,报道
515,花∠※∠※∠※∠※∠※花
516,瓜啊a~
517,报道
518,呱
519,呱
520,呱
521,bd
522,我连续下载论文导致IP被封了
523,知网
524,avnight
525,呱呱呱
526,呱呱呱
527,报道
528,呱
529,报道
530,呱
531,呱
532,呱呱
533,呱
534,呱
535,进来我们西安啦！！
536,瓜
537,呱
538,报道
539,瓜
540,报道
541,报道
542,报道
543,报到
544,1
545,报到
546,咕咕咕咕
547,“目前相关研究较少”，这话听着很耳熟
548,呱
549,1
550,呱呱
551,报道
552,报道
553,呱
554,呱
555,呱
556,呱
557,报道
558,报道
