,弹幕
1,刑啊宝友，这日子越来越有判头了
2,哈哈哈哈
3,这兄弟声音都是抖的，说谎紧张的吧
4,盗墓直说，好吧
5,保证不知道是真是假。
6,大开门
7,2333
8,鹿导
9,元青花也有拍卖的
10,那承诺了个啥
11,好家伙
12,自爆
13,？
14,经典三四年
15,ufo
16,三四年哈哈哈
17,网店买的
18,明器
19,233
20,每次说年不说价的时候我就笑喷了
21,哈哈哈哈哈哈哈
22,哪家网店
23,随葬品耶
24,卧槽
25,这是陪葬品的模型谷仓啊
26,入狱小技巧
27,承诺不知道是真是假
28,哈哈哈哈哈哈
29,刑部侍郎
30,宋代还有这种低温烧的青瓷？
31,ufo
32,好标题
33,危
34,宋江的
35,冥代以前
36,冥的以前
37,这不一飞碟吗？？？
38,哈哈哈哈哈哈哈
39,明代以后你说家传的还能信，你拿个战汉商周的来说是家传的不是扯蛋吗。。。
40,精明震怒
41,眨眨眼
42,博物馆t的吧
43,np
44,逃生舱
45,尤老师233333
46,好家伙
47,别晃
48,三四万
49,应该是上周的
50,这人交的人好实诚
51,这个是几位数
52,好家伙 上来就我买的 闲自己进去晚了呗
53,陶仓不知道？象征五谷丰登的，死人陪葬品，还说太监放那玩意的
54,找您长长眼
55,冥器
56,牛哇
57,牛哇
58,卖不上价的，博物馆好去处
59,陪葬品
60,完了
61,陪葬品
62,焊的
63,拔万
64,瞎扯淡
65,这标题就尼玛离谱
66,拔腕
67,六十五万？
68,倒斗的还开网店？
69,盗墓贼
70,危
71,这玩意是随葬品吧 
72,十年稳了
73,“网店买的”自爆啊这是…
74,网店？
75,一个一个挨着看
76,哈哈哈
77,哈哈哈哈哈哈
78,这不一嫖娼么
79,危-
80,阴器
81,兔美！
82,网店?
83,？
84,哈哈哈哈哈哈哈哈哈
85,三四年 :指坐牢
86,三四年:指坐牢
87,天天坐牢
88,进去吧兄弟
89,哈哈哈哈哈哈哈哈哈哈
90,兔美酱
91,这盖乍一看怎么这么像UFO呢？
92,UFO
93,我看成了宋江
94,现代陶也差不多这价格
95,冥器，本身就便宜
96,哈哈
97,盗墓贼
98,哈哈哈哈哈哈
99,相当于现在烧的金库银库
100,宋江？
101,抓住
102,坐牢
103,经典三四年
104,这得值个三四年有期徒刑吧
105,这不是陪葬品嘛，土里埋的不是要蹲的吗
106,我参加一个西汉将军墓的项目画过陶仓 这东西就是冥器呀
107,汉代
108,陶仓是期望来世五谷丰登的，死人用的
109,古代太监放那玩意儿的
110,承诺保证 不知道是真是假
111,年=万？
112,三四年
113,哈哈哈哈哈哈哈哈哈哈
114,碉堡
115,汉代就不行了
116,???
117,天啊！
118,考古的一般都不稀元明清的
119,刑部侍郎
120,上交国家
121,重点：出土
122,哈哈
123,这是明器啊兄得
124,一看就是陪葬品
125,汗的
126,陪葬品啊
127,三四年可还行
128,买的
129,买的
130,买得
131,一年换算多少？
132,承诺保证不知道
133,我家都有这个破罐子
134,三四年
135,哈哈哈哈
136,啥网点啊
137,看标题识老师
138,汉代？
139,可爱的牛牛老师
140,几百到几千
141,完了
142,都是随葬品
143,三四年值多少钱
144,自爆卡车
145,woc
