,弹幕
1,打人硕
2,那这都拿着货了啊
3,妈耶，宝友这可不兴盘啊
4,历史课书本上有看到过
5,谁都是朋友
6,土都还在上面
7,这玉不行啊，岫玉的吧
8,陈皮阿四
9,这到底是个啥
10,晕
11,编
12,玉佩啊
13,盗墓世家
14,5年啊
15,国家一级让随便交易吗
16,什么熟不熟，国家一级让随意交易吗
17,国家一级他还敢在这明目张胆找人鉴呢
18,使劲吹，一看就是刚出土的
19,n551华硕笔记本
20,卧槽，6000年
21,有沁！
22,woc 这么久远了
23,编，继续编
24,要被抓进去吧
25,老人家
26,好家伙
27,。
28,一级还敢买卖？？？？
29,红山文化的
30,同款笔记本
31,汉代？？？
32,这话有点假
33,张佛爷，那一代人收的
34,无期
35,孩子：亏大了
36,老人家，指已经入土1000年的老人家
37,不是
38,笑容逐渐缺德
39,不懂？7位数敢买
40,否辜负
41,？？？？？？
42,陪葬品
43,说白了和朋友一起摸的
44,古玉可以交易
45,不懂还敢买七位的货？
46,全职法师
47,他是说他不是从牢刚来的
48,这就是那个被抓进去的吧？
49, 《老人家》
50,100 0000
51,赤峰的
52,我的妈红山文化
53,国家一级文物
54,嘿嘿
55,讲故事环节开始
56,华硕笔记本
57,好家伙
58,吴老狗？
59,声音都发抖
60,不得有个10年啊
61,刚挖的
62,勾云，玉龙个jj
63,盗墓贼
64,上海口音
65,红山龙？
66,老人干那啥的吧
67,龙山文化的吗
68,0000000
69,清带泥的货，呵呵呵，通通死刑
70,扯吧
71,钱还没付，东西先给你了啊？这朋友是不是你自己
72,这全尼玛是泥和尘，还老人家，信你放屁……
73,玉龙？
74,玉猪龙吗
75,死刑
76,去个零
77,祖传红山文化，家里还有人补过天是吧？
78,盗墓就盗墓
79,这也太。。。。。
80,红山文化wok
81,玉猪龙
82,开始胡扯啦
83,刚出来的
84,开始讲故事环节
85,看起来像土里出来的
86,这镇棺的吧
87,上面不好说
88,华硕
89,百万好家伙
90,不值
91,一级文物？
92,沃日红山文化的！？
93,这玩意儿要是真的能合法交易？
94,这可不兴戴啊，宝友
95,骗子天天有
96,哪有陪葬品不是脏的啊，下土了肯定有人挖出来
97,？
98,张口就来
99,这个敢报价？？
100,……
101,一级文物
102,我不信七位数的东西没找人看过
103,华硕打钱
104,目瞪口呆
105,再编
106,阿苏斯
107,这不是棺材上的吗
108,他在看孔，是机器钻的，还是手工钻的
109,？
110,这有个屁的七位数
111,10.00000
112,拔腕
113,红山的么(⊙o⊙)！
114,红山？
115,主要是祭祀礼器
116,有点高古的味道
117,熟坑
118,岫玉
119,看一眼就能看出真假，我觉得不靠谱
120,为啥还没付钱东西就在你手？
121,独上西楼月如钩。。。
122,多少年
123,白日放歌须纵酒， 嫖姚何日破重围。 好是春风湖上亭 ， 爽气朝来万里清。 三万里河东入海， 连山断处大江流。 别巷寂寥人散后， 想见城南春水深。 
124,一级还敢买？
125,还一级
126,九门第一代
127,刘烨老师
128,……
129,嘿嘿
130,岫玉吧
131,老的有点多
