,弹幕
1,剧情都不敢这么拍
2,卧槽
3,仙术？
4,不得了
5,动画片诚不欺我
6,泰 拉 悠 悠 球
7,这是人吗？神呀
8,这么多动漫唯一这个最最真实
9,？
10,小时候看动画片就觉得够扯了，长大了看电视更扯
11,李凭中国弹箜篌
12,吓人啊
13,可恶为什么他买的是正版的
14,我的睡眠天下无敌
15,动画片总是给人一种超越现实的感觉，直到看了火力才发现现实里的动画片都不敢拍
16,抖空竹呢
17,以前看火力少年王想说这破电视剧特效真浮夸，直到我看到这比赛，草率了。保守了
18,火力少年王里面描写的大佬  估计还没出新手村
19,套球溜溜的汉子，你…
20,这个是人玩的？！
21,呃
22,是真拍了保守版，真实版过分的要命
23,卧槽
24,？？？
25,啵啵啵啵啵啵啵啵哈哈hbhhbvvbbbbbvvvvvvvvvggvggg
26,马老师
27,小型空竹
28,小型空竹
29,高清？
30,闪电五连鞭
31, 4a技术
32,这是??   哇??!!!
33,动画片还是拍的太含蓄啦
34,合着火力少年王就顶多算新手教程?
35,闪电五连鞭
36,？
37,火力少年王诚不欺我
38,闪电鞭
39,你说他球里面有灵体，我都信
40,老番茄
41,？
42,？？？
43,为什么他背后不会发光
44,悠悠空竹？
45,假的，念咒语了
46,松果痰抖闪电五连鞭
47,这不行啊～都没金龙（doge）
48,火力少年王主要是真人的，演不出来
49,TM一弦 超人
50,我以为火力是从悠悠球玩家里选演员，没想到是让演员去学悠悠球
51,？
52,他的悠悠球是活的！！
53,4A这么玩也是牛B
54,魔法？！！！
55,魔法？！！！
56,？？？
57,空竹？？？
58,这手艺不去套马可惜了~
59,仙术
60,抖空竹是两个手，连着杆接，这个可不一样
61,我怀疑你在使用魔法
62,xiua
