href,时长,名称,BV号,播放量,弹幕数,up主,up主id
https://www.bilibili.com/video/BV1MA411p7NB,5:52,【亮记生物鉴定】网络热传生物鉴定23,BV1MA411p7NB,652.3万,1.5万,无穷小亮的科普日常,14804670
https://www.bilibili.com/video/BV1mA411T7i7,6:09,【亮记生物鉴定】网络热传生物鉴定24,BV1mA411T7i7,612.7万,1.9万,无穷小亮的科普日常,14804670
https://www.bilibili.com/video/BV1sU4y1x7wQ,8:38,把黑头粉刺挤爆放到显微镜下看，居然这么美丽！？@油兔不二字幕组,BV1sU4y1x7wQ,581.1万,3546,油兔不二字幕组,15967711
https://www.bilibili.com/video/BV11V411e7Ga,5:47,【亮记生物鉴定】网络热传生物鉴定25,BV11V411e7Ga,507.4万,2.3万,无穷小亮的科普日常,14804670
https://www.bilibili.com/video/BV12K4y1n7qb,3:44,一个简单的动作消除鼻塞【一个简单动作 30秒改善鼻塞状况】,BV12K4y1n7qb,485.0万,6254,关注看热点,526044134
https://www.bilibili.com/video/BV1ti4y1c7nu,9:42,【医学博士】死亡前的征兆是什么？I 猝死前如何正确自救,BV1ti4y1c7nu,466.0万,2.3万,兔叭咯,7788379
https://www.bilibili.com/video/BV1KX4y1K72A,5:40,【亮记生物鉴定】网络热传生物鉴定22,BV1KX4y1K72A,454.9万,9064,无穷小亮的科普日常,14804670
https://www.bilibili.com/video/BV1xo4y1o71g,7:23,【人间冷暖】凌晨两点，急诊送来位同房出血快休克的姑娘……,BV1xo4y1o71g,371.7万,3.5万,六层楼先生,103388721
https://www.bilibili.com/video/BV1cA411M7uT,2:25,很多人都喜欢扣头皮上的颗粒，到底是啥东西？,BV1cA411M7uT,349.5万,5442,毛发医生李丙双,654391
https://www.bilibili.com/video/BV1by4y1e7qc,4:06,你不知道关于你自己的11个有趣事实。,BV1by4y1e7qc,321.0万,6492,地球常客★,15021038
https://www.bilibili.com/video/BV16v411x77F,1:14,西瓜脑溢血了，立即上台儿手术！,BV16v411x77F,316.0万,2263,水果医生,291042076
https://www.bilibili.com/video/BV1Rt4y1r7MQ,1:07,交配时间最长的动物,BV1Rt4y1r7MQ,304.1万,3468,无限排行,102512379
https://www.bilibili.com/video/BV1oK411g7Tt,1:17,杂质，永远的神！,BV1oK411g7Tt,298.0万,3072,笑看千秋万古愁,448175398
