,词语,次数
0,知识,83
1,掌握,11
2,掌握情况,1
3,情况,21
4,640,13
5,620,27
6,中山,23
7,中山大学,21
8,山大,27
9,大学,688
10,550,34
11,兰州,3
12,兰州大学,3
13,耐心,4
14,吧,882
15,考,406
16,分,158
17,以上,45
18,一模一样,32
19,一样,318
20,哈哈,19631
21,北大,65
22,北大考,2
23,大考,6
24,考古,2
25,考古系,2
26,其实,131
27,实是,27
28,中考,55
29,600,68
30,福州,3
31,师范,52
32,师范大学,32
33,给,298
34,自己,563
35,加油,135
36,冲冲,49
37,635,4
38,哈工大,6
39,工大,25
40,国防,10
41,国防科,10
42,科大,28
43,560,17
44,669,1
45,450,13
46,西南,16
47,西南政法大学,7
48,政法,30
49,政法大,21
50,政法大学,21
51, ,6429
52,580,37
53,又,218
54,要,668
55,马儿,2
56,马儿跑,1
57,还要,33
58,不吃,11
59,草,472
60,650,28
61,那,382
62,必须,53
63,啊,1922
64,员额,1
65,考试,159
66,试考,4
67,第一,257
68,520,21
69,120,34
70,700,11
71,＋,15
72,清,39
73,北,43
74,呜呜,293
75,厦门,26
76,厦门大学,24
77,680,15
78,东北,42
79,东北师范大学,1
80,北师,23
81,高平,1
82,平一,1
83,一中,29
84,也,1257
85,是,3584
86,杭,2
87,师大,29
88,等,86
89,!!!,24
90,浙江,39
91,音乐,54
92,生,80
93,杭州,8
94,真的,649
95,北京,61
96,北京大学,10
97,370,1
98,645,6
99,清华,131
100,清华大学,39
101,华大,41
102,安,45
103,大,418
104,中国,280
105,中国传媒,17
106,传媒,19
107,传媒大学,15
108,500,42
109,629,1
110,赞成,1
111,现在,331
112,都,1491
113,不,1401
114,追求,10
115,写上去,1
116,上去,27
117,好看,151
118,什么,805
119,只要,47
120,你,2274
121,做,559
122,会,472
123,管,15
124,他,518
125,错题,42
126,本,83
127,美不美,1
128,济南,4
129,南大,36
130,哈尔,25
131,哈尔滨,25
132,哈尔滨理工大学,1
133,理工,24
134,理工大,9
135,理工大学,9
136,480,17
137,华东,10
138,华东政法,3
139,670,10
140,上海,68
141,上海财经大学,4
142,财经,10
143,财经大学,5
144,666,130
145,630,17
146,北邮,4
147,努力,79
148,和,611
149,心态,48
150,电子,16
151,电子科,9
152,电子科技,7
153,科技,27
