,词语,次数
0,苟,5
1,或,7
2,不信,21
3,除非,16
4,你,2060
5,打印,14
6,给,427
7,看,340
8,这,1228
9,我们,247
10,店,6
11,直接,218
12,帮忙,3
13,做,218
14,有,824
15,专门,9
16,软件,14
17,吧,668
18,3,149
19,4,37
20,赞,71
21,三国,8
22,杀,16
23,哈哈,7809
24,哈哈哈,6214
25,哈哈哈哈,4781
26,自己,387
27,带,53
28,可,84
29,还行,33
30,太,439
31,聪明,12
32,甄,1
33,姬,14
34,无,17
35,惨,26
36,狗,105
37,货,17
38,很,440
39,厉害,76
40,荀,1
41,gou,1
42,彧,1
43,huo,1
44,把,176
45,这个,460
46,叫做,4
47,水牌,1
48,蒸蒸,1
49,蒸蒸日上,1
50,三国群英,2
51,群英,2
52,群英会,2
53,打,94
54,孕育,1
55,朗,1
56,6666,13
57,A,6
58,试纸,1
59,三步,3
60,已经,151
61,超过,17
62,妙,19
63,啊,1007
64,外包,8
65,收藏,46
66,比,103
67,多,375
68,系列,16
69,知道,197
70,不应,14
71,应该,99
72,该是,30
73,供应,3
74,供应商,2
75,吗,666
76,邮件,11
77,导入,1
78,好家伙,134
79,家伙,135
80,国大,6
81,大会,3
82,不如,29
83,正反,2
84,doge,40
85,步,6
86,数学,10
87,问题,188
88,淘宝,4
89,战士,2
90,还以,12
91,以为,56
92,为什么,128
93,什么,543
94,方法,15
95,呢,350
96,去,292
97, ,2971
98,好,800
99,用,136
100,这么,283
101,麻烦,20
102,全选,2
103,设,6
104,行,60
105,高,133
106,列,2
107,宽,9
108,不行,88
109,是,2370
110,调用,1
111,买,103
112,扑克,1
113,不,989
114,就,1100
115,完事,9
116,席,1
117,卡,23
118,感谢,57
119,子,42
120,看到,56
121,封面,5
122,人,512
123,傻,47
124,找,86
125,右边,6
126,距,1
127,明明,13
128,盲,14
129,猜,25
130,合并,6
131,叫,90
132,一直,76
133,都,1152
134,说好,8
135,嘞,7
136,Labview,1
137,最快,1
138,赤壁,2
139,赤壁大战,2
140,大战,2
141,站,62
142,前,40
143,动员,3
144,动员会,1
145,word,1
146,不好,119
147,地府,2
148,会议,8
149,有点,116
150,离谱,31
151,这里,50
152,可以,280
153,选择,34
154,居中,16
155,模式,11
156,没,411
157,必要,31
158,以使,1
159,使用,7
160,中方,2
161,方式,15
162,快速,7
163,复杂,26
164,xunyu,1
165,荀彧,2
166,逐渐,9
167,跟不上,7
168,收藏夹,4
169,吃,126
170,灰,9
171,学,111
172,废,25
173,不用,85
174,VBA,1
175,tm,30
176,这方,8
177,也,870
178,功夫,4
179,打印机,1
180,印机,1
181,出来,101
182,好几,16
183,好几张,1
184,几张,1
185,之前,40
186,说,718
187,几步,1
188,来,262
189,着,146
190,让,175
191,他们,83
192,水平,19
193,垂直,1
194,钩,1
195,上,162
196,搞,39
197,点,139
198,谁家,2
199,桌,3
200,a4,1
201,古今,1
202,名人,1
203,划,3
204,快,77
205,进到,2
206,曹丕,1
207,设置,3
208,阴间,1
209,参会,1
210,人员,8
211,B,36
212,日记,21
213,真实,387
214,考考,3
215,考考试,1
216,考试,93
217,试试,14
218,啥,247
219,样,5
220,这样,303
221,真的,333
222,挺,95
223,卡壳,6
224,考场,6
225,纸,12
226,考过,20
227,不要,173
228,吓,9
229,大多,20
230,大多数,16
231,多数,19
232,数人,6
233,上来,9
234,连话都,1
235,不利,1
236,利索,1
237,只要,31
238,逻辑,24
239,清晰,6
240,语言,18
241,相对,8
242,对流,1
243,流利,3
244,高分,11
245,紧张,130
246,确定,20
247,视频,158
248,和,309
249,标题,10
250,相符,1
251,慌,26
252,一,162
253,逼,98
254,要是,62
255,说不出,4
256,不出,16
257,话,60
258,再说,14
259,一遍,15
260,听清,7
261,牛,92
262,非,20
263,静止,7
264,画面,12
265,再,82
266,念,12
267,跺,1
268,麻,8
269,别,171
270,捡,1
271,笑,165
272,你们,113
273,优秀,34
274,恐怕,2
275,个,337
276,小,103
277,白,152
278,培训,20
279,训过,3
280,参加,13
281,加过,2
282,面试,112
283,不值,12
284,分,50
285,第一,109
286,第一第二,1
287,第二,25
288,第二第三,1
289,第三,7
290,还有,96
291,这些,93
292,培训班,3
293,教,52
294,过,254
295,那些,16
296,试过,4
297,能,285
298,清楚,25
299,确实,133
300,太紧,13
301,太紧张,13
302,顿,2
303,很多,101
304,。。。,132
305,870,1
306,题,37
307,不是,520
308,答,20
309,意义,32
310,怎么,422
311,重点,33
312,在,573
313,对策,1
314,员,2
315,呃,26
316,那个,98
317,准备,15
318,听,100
319,大家,75
320,难受,19
321,可能,121
322,弹幕,140
323,硬,3
324,酸,13
325,实在,18
326,实在是高,1
327,长,49
328,得,216
329,漂亮,73
330,印象,5
331,印象分,2
332,拉,28
333,满,8
334,明显,15
335,储备,3
336,不够,25
337,以前,34
338,打比,1
339,比赛,7
340,要,404
341,材料,5
342,话题,5
343,两句,2
344,最后,39
345,68,1
346,好紧,11
347,前面,72
348,培养,8
349,傻子,24
350,酸味,1
351,溢出,1
352,屏幕,14
353,全程,10
354,微笑,6
355,满满,7
356,满满的,2
357,佩服,3
358,估计,33
359,到,119
360,时候,154
361,面目,1
362,面目狰狞,1
363,狰狞,1
364,然后,69
365,一些,23
366,同事,103
367,考,170
368,87,12
369,跑题,15
370,大姐,13
371,普通,35
372,国,17
373,84,6
374,分路,1
375,路过,31
376,代入,5
377,感,18
378,强,59
379,开始,98
380,写日记,1
381,还要,29
382,预算,2
383,写,66
384,草稿,4
385,大纲,1
386,好多,41
387,发,56
388,连,113
389,句,19
390,整,15
391,说不出来,1
392,一般,67
393,感觉,146
394,我家,20
395,矿,6
396,听懂,10
397,菊,3
398,斗,9
399,罗,7
400,两极,2
401,领悟,3
402,笑容,2
403,不重,11
404,重要,60
405,老师,131
406,您,25
407,回答,39
408,完毕,7
409,爸,13
410,区长,5
411,躺,15
412,水吧,1
413,父亲,5
414,告诉,30
415,死板,2
416,考生,29
417,不会,205
418,痕迹,1
419,化,6
420,严重,19
421,大神,11
422,？？,97
423,咋,50
424,觉得,156
425,难道,16
426,不先,3
427,表态,1
428,论点,2
429,没有,340
430,千年,2
431,科举,1
432,.,565
433,2,286
434,个人,149
435,偏,25
436,模板,9
437,机构,15
438,产物,1
439,反而,8
440,会,301
441,考官,28
442,舒服,18
443,模式化,2
444,只能,39
445,真,151
446,卑微,37
447,结构,4
448,结构化,1
449,短,6
450,记,10
451,算了,17
452,算了吧,5
453,10,56
454,亿,12
455,存款,2
456,不敢,33
457,扶,3
458,问,131
459,乡情,11
460,具体,6
461,具体做法,1
462,做法,6
463,额,18
464,嗯,31
465,，，，,10
466,shuoi,1
467,三点,8
468,？？？,195
469,恐怖,13
470,害怕,36
471,不动,16
472,动笔,3
473,。。,112
474,普通话,12
475,通话,12
476,太行,4
477,深,10
478,生,40
479,不分,9
480,现场,10
481,内容,7
482,容重,1
483,重复,4
484,那,273
485,说出,12
486,看出,13
487,人家,84
488,只是,49
489,同,34
490,款,13
491,啥意思,2
492,意思,56
493,模拟,41
494,纸笔,7
495,李,18
496,刚,66
497,还,471
498,差,40
499,妈呀,15
500,八股,3
501,八股文,2
502,思考,22
503,时间,90
504,目的,21
505,老子,21
506,下,42
507,一题,3
508,他,287
509,扯,34
510,犊子,13
511,打草,3
512,打草稿,3
513,吸,2
514,根,4
515,烟,2
516,冷静,7
517,一下,87
518,还是,189
519,？！？！,1
520,85,1
521,变成,15
522,解释,13
523,方案,9
524,语速,4
525,放慢,1
526,一点,73
527,更好,17
528,一句,32
529,几遍,2
530,，。。,1
531,香芹,1
532,就是,623
533,放在,3
534,难点,2
535,效果,9
536,工具,26
537,人本,3
538,本人,14
539,木偶,1
540,得体,3
541,有些,47
542,地方,30
543,评论,17
544,最多,11
545,80,20
546,马,38
547,日,7
548,鸡,19
549,机器,27
550,机器人,17
551,题目,18
552,目中,4
553,这位,8
554,偏题,1
555,每天,38
556,刚刚,12
557,睡着,7
558,她,121
559,啊啊啊,67
560,现在,186
561,机关,10
562,培养出来,2
563,最起码,3
564,起码,6
565,别人,118
566,素养,2
567,平时,14
568,时说,3
569,说话,50
570,肯定,59
571,能比,5
572,比较,33
573,较紧,1
574,没错,61
575,想去,6
576,当,86
577,想,270
578,早,30
579,九,3
580,晚,10
581,五,19
582,双休,70
583,不能,126
584,张口,3
585,一个,302
586,过程,9
587,坐,27
588,不可,58
589,当初,7
590,83,2
591,6,36
592,流畅,4
593,多得多,1
594,wtf,2
595,吼,6
596,？？？？,107
597,老百姓,3
598,百姓,3
599,所想,1
600,所思,1
601,所,5
602,盼,1
603,马什,1
604,梅,2
605,搞笑,16
606,这么久,3
607,胡,6
608,菲,3
609,有关,24
610,部门,14
611,正在,14
612,调查,4
613,请,34
614,耐心,7
615,等待,3
616,大概,23
617,关系,105
618,正经,31
619,正经人,3
620,谁,156
621,，，,14
622,反讽,1
623,难,60
624,愿意,32
625,别以为,2
626,公务,140
627,公务员,140
628,么,126
629,…………,3
630,当时,24
631,张嘴,8
632,强行,6
633,带入,3
634,恐惧,2
635,哎,20
636,这种,205
637,出口,3
638,形式,5
639,很重,25
640,但是,94
641,对,242
642,来说,24
643,腹稿,1
644,天,80
645,古板,2
646,该答,1
647,组织,8
648,组织协调,1
649,协调,4
650,会考,5
651,别说,20
652,这回,6
653,拿,65
654,眼睛,17
655,嘛,80
656,假笑,3
657,抓,4
658,黑板,1
659,声音,41
660,一样,205
661,各地,1
662,地标,1
663,标准,16
664,不一,59
665,不过,72
666,打到,4
667,以上,21
668,离题,1
669,特,32
670,被窝,2
671,窝里,5
672,公,22
673,闭嘴,8
674,趴在,1
675,桌子,11
676,尴尬,59
677,所以,117
678,专家,3
679,自闭,3
680,为,42
681,默哀,1
682,太多,57
683,跟,154
684,木头,1
685,走进,3
686,田间,2
687,地头,2
688,假大空,2
689,与,9
690,农民,6
691,交谈,1
692,道,39
693,四点,2
694,拓展,2
695,展开,1
696,短时,1
697,短时间,1
698,想到,19
699,批,9
700,打稿,1
701,稿子,6
702,呀,129
703,倒,17
