,词语,次数
0,过于,6
1,真实,35
2,是,2504
3,因为,51
4,他,301
5,觉得,80
6,这,2782
7,个,725
8,专属,15
9,钻戒,11
10,卧槽,897
11,去,302
12,这么,357
13,贵,57
14,她,50
15,老公,59
16,也,630
17,不同,46
18,同意,33
19,老师,401
20,想起,35
21,往事,1
22,妈,332
23,爱,131
24,你,1546
25,吗,1119
26,买,302
27,麻花,25
28,情,18
29,音乐,24
30,起,32
31,不要,113
32,套,29
33,人家,88
34,故事,41
35,不,838
36,可不,244
37,不兴,310
38,戴,175
39,宝,420
40,友,355
41,好家伙,692
42,家伙,708
43, ,5706
44,到,270
45,鉴,120
46,都,1069
47,只有,41
48,3,95
49,折,4
50,戒指,22
51,为了,31
52,人,538
53,跟,121
54,女朋友,15
55,朋友,382
56,求婚,19
57,用,518
58,给,353
59,前任,6
60,好,1122
61,用脑,1
62,脑子,29
63,想想,20
64,如果,36
65,女,53
66,有,1006
67,男,49
68,拿,101
69,能,411
70,把,262
71,头发,50
72,薅,6
73,光,52
74,多,380
75,好看,277
76,呀,222
77,留,39
78,着,217
79,下次,144
80,正经,24
81,鲶鱼,95
82,语气,8
83,听,106
84,找,105
85,男朋友,46
86,算了,28
87,子,42
88,轩,11
89,认真,25
90,别,142
91,这样,111
92,怕,81
93,真好,36
94,一小,9
95,小伙,35
96,小伙子,12
97,伙子,12
98,哈哈,20486
99,哈哈哈,16711
100,哈哈哈哈,13160
101,隔,10
102,循环,7
103,利用,4
104,呢,374
105,紫,9
106,钻,13
107,说出,7
108,无名,3
109,无名指,1
110,尺寸,6
111,不一,67
112,一样,143
113,荧光,3
114,光要,2
115,九万,8
116,谢谢,88
117,万多,15
118,看来,15
119,真的,321
120,拜,8
121,悲伤,15
122,亏了,17
123,第一,133
124,第一次,75
125,一次,101
126,见,358
127,耶,252
128,求,32
129,啊,2078
130,泪,41
131,目,36
132,前面,79
133,面恶,1
134,恶心,24
135,被,187
136,真,309
137,男人,36
138,确实,76
139,可出,2
140,出不起,1
141,陪,4
142,一根,9
143,我爱你,9
144,卖,108
145,大,237
146,鲫鱼,1
147,老实,10
148,肯定,54
149,定要,16
150,重新,13
151,一个,527
152,油,13
153,伤心,3
154,伤心事,1
155,心事,1
156,感觉,148
157,好像,151
158,花,77
159,少,42
160,北,15
161,声,11
162,这个,918
163,bgm,96
164,马,61
165,哎,61
166,真不,32
167,戳,33
168,经验,7
169,天,110
170,哪,103
171,不想,24
172,累,4
173,学,107
174,废,36
175,就是,498
176,丑,22
177,老哥,82
178,要,372
179,钻石,19
180,贬值,7
181,最快,2
182,离开,462
183,柜台,2
184,台后,1
185,就,1228
186,太,395
187,尊重,4
188,女生,7
189,紫色,12
190,好好,168
191,好好看,67
192,多么,1
193,保值,8
194,大小,7
195,大小不一,2
196,会,299
197,发现,35
198,林,6
199,宥,1
200,嘉,3
201,试试,53
202,？？？,366
203,下,98
204,真心,5
205,吧,1028
206,考,16
207,慮,1
208,男孩,8
209,男孩子,5
210,孩子,39
211,呗,47
212,懂,210
213,以后,32
214,咋,91
215,没声,4
216,可以,410
217,所以,82
218,盆,5
219,还,607
220,不幸,3
221,暂时,4
222,带,185
223,看着,66
224,难受,21
225,不合,12
226,合适,15
227,换,81
228,托,20
229,就行了,24
230,戒,2
231,18K,1
232,金,32
233,2000,9
234,块,58
235,性别,13
236,其实,47
237,不用,61
238,卡,64
239,得,191
240,那么,91
241,死,288
242,zhei,2
243,吹,79
244,吉利,3
245,这次,87
246,没,369
247,皮,26
248,看看,118
249,doge,180
250,对,89
251,建议,56
252,入,37
253,宅,22
254,坚强,1
255,本山,1
256,不值,34
257,不值钱,26
258,值钱,49
259,还是,194
260,黄金,12
261,香,50
262,情感,8
263,节目,19
264,这种,94
265,按,23
266,指,33
267,围,1
268,搞,58
269,说,468
270,小,314
271,自己,197
272,逛逛,1
273,店,8
274,兜里,1
275,钱,104
