,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,8.42200,滚动弹幕,25,0xffffff,0,ea493f9f,46613294594129923,吸
2,26.40000,滚动弹幕,25,0xffffff,0,f5a43e90,46603584497778693,卖了
3,26.75500,滚动弹幕,25,0xffffff,0,ad5b23b3,46584361950642179,吸吸吸吸欧气
4,45.08600,滚动弹幕,25,0xe70012,0,21c8ac9e,46485664707379203,厦门磊哥
5,25.73100,滚动弹幕,25,0xa0ea,0,b80373ee,46472254358290435,已经卖了，看评论
6,74.08700,滚动弹幕,25,0xffffff,0,e4b0634a,46471991351312387,吸吸吸
7,5.61200,滚动弹幕,25,0xffffff,0,931fbbe4,46458281959882757,卧槽
8,20.49200,滚动弹幕,25,0xffffff,0,38e06acf,46454444469518339,卧槽，牛啊
9,37.61200,滚动弹幕,25,0xffffff,0,7c2521ff,46403324218966019,老福州人了
10,0.69100,滚动弹幕,25,0xffffff,0,fb9d48ad,46402926394998789,袜
11,77.49900,滚动弹幕,25,0xffffff,0,dc73c550,46393585757061123,卧槽
12,24.39900,滚动弹幕,25,0xffffff,0,6581e348,46392857684082691,吸吸吸
13,7.91200,滚动弹幕,25,0xffffff,0,b01da0f3,46380692818886661,吸吸吸
14,78.00000,滚动弹幕,25,0xffffff,0,79cf1481,46347938857746435,xixixi
15,77.71800,滚动弹幕,25,0xffffff,0,da676ac,46308704879902723,吸吸
16,65.49900,滚动弹幕,25,0xffffff,0,4d0f34f7,46305547492786179,我这辈子就只吃海螺了
17,66.26000,顶端弹幕,25,0xa0ea,0,179ccec4,46304533413363719,基德？？？
18,64.06300,滚动弹幕,25,0xffffff,0,5c5a9ce7,46304521708634119,妈耶
19,51.34700,滚动弹幕,25,0xffffff,0,bd409bab,46302727744520197,莆田人永远滴神
20,29.83800,滚动弹幕,25,0xffffff,0,bd409bab,46302716624371715,莆田人
21,41.08100,滚动弹幕,25,0xffffff,0,720ed8ef,46284239925149701,莆田口音？
22,77.82400,滚动弹幕,25,0xffffff,0,2d5fff7f,46264814808334343,吸
23,77.73300,滚动弹幕,25,0xffffff,0,3a2c3523,46262083397353477,？？？？？？？？？
24,6.10100,滚动弹幕,25,0xffffff,0,ffe7fa2d,46261967999991815,酸了
25,77.82400,滚动弹幕,25,0xffffff,0,515e2ba,46251314791317509,吸吸吸
26,4.26300,滚动弹幕,25,0xffffff,0,8e9b5ae,46250264801312771,吸吸吸
27,77.82400,滚动弹幕,25,0xffffff,0,8e9b5ae,46250260986068995,吸吸吸
28,14.13700,滚动弹幕,25,0xffffff,0,76b8b3ec,46241587725336583,这就是欧皇啊
29,36.24400,滚动弹幕,25,0xffffff,0,b370a415,46208582008963077,莆田口音
30,3.45100,滚动弹幕,25,0xffffff,0,887f4b27,46176748282314759,吸吸吸
31,10.98500,滚动弹幕,25,0xffffff,0,860d0f8d,46158548894220291,鱼皮花生
32,13.88600,滚动弹幕,25,0xffffff,0,18094e95,46135292157493251,吸
33,20.26300,滚动弹幕,25,0xffffff,0,565286dc,46085484123258885,后面被人买了找午阳老师连线
34,24.67000,滚动弹幕,25,0xffffff,0,17cb6b56,46064472916754437,吸吸吸
35,76.15800,滚动弹幕,25,0xffffff,0,b88c508,46063788710428679,这就去吃海鲜
36,1.23600,滚动弹幕,25,0xffffff,0,cae25e72,46043989276622855,吸吸吸吸
37,56.70100,滚动弹幕,25,0xffffff,0,d76c5732,46020141345406983,卧槽？
38,22.67700,滚动弹幕,25,0xffffff,0,253fd596,45975980384190471,海南老姐
39,69.40200,滚动弹幕,25,0xffffff,0,9cb07d8c,45947304709980165,吸
40,6.79400,滚动弹幕,25,0xffffff,0,ae4bbd29,45939472427122691,已经出手了
41,20.98200,滚动弹幕,25,0xffffff,0,2d89d35b,45925599659687939,被人买走了
42,34.87600,滚动弹幕,25,0xffffff,0,9c5c0f9,45907271268958213,球球kcl给我offer
43,0.00000,滚动弹幕,25,0xffffff,0,bd26d54d,45842356123467781,酸了
44,1.65900,滚动弹幕,25,0xffffff,0,6088c760,45837777007804423,吸吸吸
45,5.41500,滚动弹幕,25,0xffffff,0,f4f5e19e,45809071699787781,吸吸吸
46,15.00500,滚动弹幕,25,0xffffff,0,6007a308,45806830586167301,吸吸吸
47,74.86400,滚动弹幕,25,0xffffff,0,c867c42f,45805823642304515,？？？？？？
48,35.14600,滚动弹幕,25,0xffffff,0,c867c42f,45805802774593539,福州的吧？
49,72.48200,滚动弹幕,25,0xffffff,0,a698fa80,45805260878905413,吸吸吸
50,4.34600,滚动弹幕,25,0xffffff,0,c13e233f,45803006438932485,？？？？
51,18.25900,滚动弹幕,25,0xffffff,0,e52e180,45801139677954051,欧爆了
52,11.37900,滚动弹幕,25,0xffffff,0,e52e180,45801136056696839,卧槽
53,77.49100,滚动弹幕,25,0xffffff,0,d74a6921,45791989685813255,？？？？？
54,72.32600,滚动弹幕,25,0xffffff,0,e087898d,45790041801752643,吸吸吸吸
55,77.03300,滚动弹幕,25,0xffffff,0,725f5910,45773346838151171,这次我真的酸了
56,78.00000,滚动弹幕,25,0xffffff,0,d2b4101,45771415918477315,？？？
57,6.78600,滚动弹幕,25,0xffffff,0,bc21dfc9,45769370620133383,吸吸吸吸吸吸欧气
58,58.08000,滚动弹幕,25,0xffffff,0,85634250,45768722806734853,吸吸吸
59,13.10900,滚动弹幕,25,0xffffff,0,76809bfc,45765403145142275,欧皇
60,35.06800,滚动弹幕,25,0xffffff,0,cb72f8b5,45764559296790531,吸吸欧气
61,76.00000,滚动弹幕,25,0xffffff,0,d4300a6e,45760570035011589,吸吸吸吸吸吸
62,66.97500,滚动弹幕,25,0xffffff,0,6c8676fe,45757735953235975,这才叫财神爷追着跑
63,77.82400,滚动弹幕,25,0xffffff,0,60f9d9f9,45755893021147141,我的妈
64,0.91500,滚动弹幕,25,0xffffff,0,6da415ba,45754349402456071,吸吸吸吸吸吸
65,66.36600,滚动弹幕,25,0xffffff,0,fc87c204,45750089669935109,我天
66,0.30400,滚动弹幕,25,0xffffff,0,a30c697c,45749729969569799,吸吸吸
67,33.00900,滚动弹幕,25,0xffffff,0,8c6be314,45747768977260549,跟我福建舍友的口音一模一样哈哈哈好亲切
68,9.02200,滚动弹幕,25,0xffffff,0,5f63993d,45744956560637959,吸吸吸吸欧气
69,63.40100,滚动弹幕,25,0xffffff,0,679cc2c3,45740775190298629,哇靠？
70,11.77900,滚动弹幕,25,0xffffff,0,7e5a121c,45733139903938563,M豆吧
