,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,20.46400,滚动弹幕,25,0xfef102,0,45c272dd,44811843692658695,我没变色
2,17.80700,滚动弹幕,25,0xffffff,0,fb330a6b,44634432064192517,？？？？？
3,11.98400,滚动弹幕,25,0xffffff,0,5da836ca,44633416496316421,？？？？？
4,30.88500,滚动弹幕,25,0xffffff,0,d29d148,44631489237221381,电动牙刷？
5,26.07300,滚动弹幕,25,0xffffff,0,30c6091e,44630791877558279,自动刷牙机。
6,21.73900,底端弹幕,25,0xfef102,0,25c42343,44630420621361223,冲
7,13.67500,滚动弹幕,25,0xffffff,0,4b2fff4c,44630231473455109,拔牙机
8,18.58600,滚动弹幕,25,0xffffff,0,9e167e87,44629546231660549,卧槽
9,16.98100,滚动弹幕,25,0xffffff,0,d14443a1,44627614488854533,666
10,2.48000,滚动弹幕,25,0xffffff,0,d14443a1,44627606907125765,666
11,22.81000,滚动弹幕,25,0xffffff,0,3cda02,44627550587060229,富婆机
12,30.17100,滚动弹幕,25,0xffffff,0,d6622aa,44593943372890115,这东西我见过
13,21.42500,滚动弹幕,25,0xffffff,0,abb8d8fa,44592945574182919,？？？
14,32.50200,滚动弹幕,25,0xffffff,0,8d81e227,44591599271280647,啊这
15,3.39300,滚动弹幕,25,0xffffff,0,c47419e9,44589389868171267,累不死，戳死了
16,31.62500,滚动弹幕,25,0xffffff,0,af2ddb81,44587496712437763,坏掉了呢
17,12.06800,滚动弹幕,25,0xffffff,0,4873639f,44587415553703939,啊这
18,24.73900,滚动弹幕,25,0xffffff,0,c294eee0,44586989913636871,够快
19,2.93700,滚动弹幕,25,0xffffff,0,2b536441,44586499375104007,依稀记得从外国电视剧里见过
20,6.56900,滚动弹幕,25,0xffffff,0,6bbdf664,44586431741427719,举报
21,7.36100,滚动弹幕,25,0xffffff,0,6bbdf664,44586411570495493,打马赛克
22,29.78700,滚动弹幕,25,0xfef102,0,a7862131,44585423848079363,？？？？啊这
23,18.58700,滚动弹幕,25,0xffffff,0,ce0e573e,44585131376640003,wc，
24,19.19900,滚动弹幕,25,0xffffff,0,5f3811ae,44583441526161413,这不是这样用的
25,19.58600,滚动弹幕,25,0xffffff,0,45f15593,44582526513053699,？？？？
26,16.97000,滚动弹幕,25,0xffffff,0,abd02545,44579564324651015,啊啊啊啊啊啊啊
27,9.77600,滚动弹幕,25,0xffffff,0,bbc520e8,44578965239103493,炮鸡
28,25.17800,滚动弹幕,25,0xfef102,0,92410311,44578333346758663,卧槽
29,3.18300,滚动弹幕,25,0xfef102,0,bab46a70,44577840570040325,我老婆说想要买一个
30,25.40300,滚动弹幕,25,0xffffff,0,9aab3454,44572859425095683,？？？？？？
31,17.42300,滚动弹幕,25,0xffffff,0,6c2038b,44567874281406467,？？？？？？？？？？？？？？？
32,5.92300,滚动弹幕,25,0xffffff,0,6c2038b,44567868231647237,？？？？
33,31.05500,滚动弹幕,25,0xffffff,0,dcd69fad,44564560170450951,？？？？？？？
34,15.04700,滚动弹幕,25,0xffffff,0,dcd69fad,44564551718928389,？？？
35,23.39100,滚动弹幕,25,0xffffff,0,fd6d0a3e,44542728341028869,不对劲
36,22.57900,滚动弹幕,25,0xffffff,0,993916ba,44542052245438471,？
37,19.03400,滚动弹幕,25,0xffffff,0,e05e75e9,44541833654566917,特别不对劲
38,21.28700,滚动弹幕,25,0xfef102,0,bbe88497,44539869813800963,这我想到了什么
39,7.27100,滚动弹幕,25,0xffffff,0,bbe88497,44539858573066243,？？？
