,弹幕
1,因此传世文物、祖传文物可收藏、拍卖，只要不卖出境就行。
2,“攥的更紧了”
3,死刑宣告
4,死刑
5,卧槽
6,nb哈哈哈草
7,饕餮纹
8,上周的
9,杀了不少人啊这剑 凶气
10,NB
11,真好看
12,我感觉这把剑杀过不少人  
13,有杀气
14,这剑有杀气
15,诸侯剑
16,这种纹 现代做不了
17,盗墓世家
18,第6666个评论
19,卧槽
20,感觉是吧 上流剑
21,危
22,商周的死刑了
23,我去
24,青铜
25,卧槽
26,卧槽？
27,——兄弟们看热评对线！——
28,说不卖出去就没事儿的，你特么知道损坏国家一级文物是多大罪吗？
29,到来学扯淡
30,上周的
31,上周的
32,上周的
33,传尼玛，盗墓的好吧
34,文物犯罪不判死刑吧
35,磕巴了哈哈哈哈哈哈哈哈哈哈哈哈
36,上周的
37,我靠头玩断了
38,卧槽，爆炸
39,卧槽
40,两千多年的青铜剑，只有剑尖缺损，无价国宝
41,妈耶，商州时期
42,…
43,好看
44,这剑真好看
45,姜太公
46,卧槽
47,死刑
48,商周的
49,传了四千多年？Nb
50,上周的
51,这是最重的一次刑了
52,卧槽商周的保存这么好？
53,枪毙
54,握草
55,无期？
56,好漂亮啊这剑，出个仿品工艺品想买
57,！！！
58,土夫子
59,太爷爷可能是拿来砍僵尸的呢
60,损坏文物~
61,卧槽
62,燃起来了
63,上周的
64,卧槽
65,故意损毁文物，十年吧
66,好看
67,好漂亮啊
68,我靠
69,上周的
70,祖传没事
71,损坏文物
72,株连哈哈哈哈
73,上上上周？
74,我靠
75,天呐
76,这指甲
77,你给玩坏了。。
78,亲手把太公送上绞刑台
79,坑爹的娃
80,卧槽
81,牛逼
82,都是演的哈哈哈哈
83,上周的
84,卧槽
85,上周的吧？
86,承影
87,死刑剑
88,手柄不错
89,寒光四射！
90,这个进去了
91,上周？ ？ ？
92,卧槽
93,卧槽。
94,哈哈哈哈哈哈哈哈
95,年少有为
96,我有一把上周的
97,塑料来的
98,我靠这么漂亮
99,姜 太 公
100,家里道士
101,吓吹
102,卧槽
103,太公姓姜吗？算命的
104,完了
105,看纹路是把诸侯剑
106,真的，这是把礼器，级别很高
107,姜子牙的斩妖剑
108,牛逼
109,真漂亮
110,歪日
111,哪个男的有把这东西都得盘一盘
112,好家伙，这品相
113,我擦
114,商周的硬生生被盘成上周的。。。
115,眼睛拔不出来了
116,这个雕文
117,陈瞎子
118,卧槽
119,卧槽
120,法外狂徒
121,第一次见到老师直接坐起来看
122,斩妖除魔
123,天呐
124,哇
125,牛逼
126,也就比笔记本长一点
127,最强王者
128,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
129,上周的
130,名场面
131,太公应该不用判刑
132,小时候没少拿来砍菜花吧
133,好家伙
134,好漂亮啊这把剑
135,哈哈哈
136,卧槽？？
137,卧槽
138,尚方宝剑
139,这集看过...死刑警告！
140,我什么时候死
141,肯定是祖传了！不然不会这么玩！因为自己的打小就有！不知道珍惜！
142,好看
143,？
144,下辈子注意点就行了
145,注意老师表情，脸都绿了感觉
146,woc，这……
147,上周的
148,法器 已经挡下一灾了
149,这把剑真心漂亮，可能不是一般人有的
150,好漂亮
151,上周啊
152,顺手判了死刑
153,宝友
154,死刑
155,这个卖十亿都有人拍
156,老师都震惊了
157,卧槽？！？！
158,天子剑
159,好漂亮的剑
160,玩断了？？？？
161,去NM
162,这把剑好漂亮
163,震惊了哈哈哈哈哈哈哈哈
164,盗墓
165,上周的
166,好好看
167,好漂亮
168,卧槽
169,完蛋，国宝级了。
170,祖传死刑
171,哈哈哈哈
172,握柄还有纹
173,卧槽
174,？
175,花纹太美了
176,王侯一级的吧，要是真家伙就厉害了
177,这个应该是将军用的
178,我靠
179,上周的
180,封神榜了
181,上周的青铜剑
182,好家伙姜子牙的剑
183,趁早跑路吧
184,上周的
185,上周的
186,姜太公
187,上周？
188,三四千年卧操
189,死刑 哈哈哈哈
190,真漂亮啊
191,上周的吧
192,这是士大夫的剑，高阶级的。
193,突然手抖
194,这塑料太好看
195,死孩子
196,卧槽
197,我滴妈啊
198,?
199,好帅
200,上周
201,上周的
202,敢问宝友可是姓姜？
203,上周的
204,你完了
205,上周的？
206,卧槽卧槽卧槽
207,无期徒刑剑
208,没想到竟然是真品，太难得了
209,卧槽
210,卧槽
211,你太公鹧鸪哨吧
212,有花纹
213,哈哈
214,上周的
215,那还好啊，上周的(
216,下辈子注意点
217,卧槽
218,死刑
219,诗乃等身大手办
220,除非你祖上商纣王
221,上古遗物
222,上周的？
223,这个纹经理了3千年的历史卧槽
224,卧槽
225,这个必须上交了兄弟，国家缺这个时代的东西
226,卧槽！
227,几代人危
228,帅啊啊啊啊啊啊啊啊
229,卧槽
230,我瞅瞅
231,卧槽
232,惨
233,我靠
234,上周的
235,。。。
236,上周的
237,上周？
238,上周的
239,笑死哈哈哈哈哈哈哈哈
240,哈哈哈哈哈哈哈哈哈哈
241,hhahhh
242,卧槽
243,奖励你死刑哦
244,这把剑太漂亮了，当工艺品也没问题啊
245,这个是真漂亮
246,应该是上周的
247,寒光凛凛
248,确实漂亮
249,卧槽
250,老师眼睛都直了
251,寒光凛冽
252,传家宝
253,啥！！
254,饕餮
255,摸包浆了都
256,龙纹加刻铭文，天子佩剑啊
257,可以修
258,包浆了哈哈哈哈哈哈哈哈哈
259,虹猫蓝兔七侠剑
260,真剑
261,卧槽
262,确实好好看
263,真的漂亮
264,我靠
265,我靠
266,祖传能传两千年?扯淡
267,同款刮胡刀
268,国宝啊
269,这剑好漂亮
270,下面是龙凤啊，帝王之物啊
271,看剑柄太美了，青铜，这纹路太美了
272,但这剑5好漂亮
273,上周，卧槽
274,既然死刑，就是无价之宝1亿套房子都顶不上
275,woc！！！！！！！！！！走好
276,上周的
277,太好看了
278,这把剑是上周的
279,为啥说死刑，因为这是国宝级别的文物
280,你还把你爸给坑了
281,卧槽
282,上周的
283,姜子牙的
284,你怎么证明这东西是你家代代相传的？
285,嘿呦，这可不兴玩啊宝友
286,快盘出包浆了
287,卧槽
288,哈哈哈哈哈哈
289,有点帅
290,额滴圣剑
291,卧槽
292,祖传的怕啥
293,这件行明显就是那种天子剑的规格
294,我靠你这个
295,好剑
296,危
297,卧槽
298,好看！！
299,卧槽
300,上周的吧，哈哈哈哈
301,上周的
302,上周的
303,青铜出土就是国宝，个人还敢出来炫，脑子怎么长的
304,上周
305,上周的
306,天啦
307,天天自首
308,嚯
309,上周的
310,法师说了 这玩意儿是个西贝货
311,八面汉剑
312,卧槽 漂亮
313,饕餮纹
314,煞笔玩断了
315,好剑
316,卧槽
317,这，，，国家大事
318,棒极了
319,上商的
320,草，祖传的青铜剑，祖上怕不是诸侯王
321,上周的
322,天子诸侯级别的了
323,上周
324,死刑
325,死刑
326,还有花纹
327,爷爷也一样
328,祖传宝剑
329,嚯
330,好漂亮
331,哇，好漂亮
332,我也感觉是国家宝藏
333,我靠？
334,真漂亮
335,第二个朝代
336,上周的（）
337,完了
338,是姓姜么
339,越王勾践剑
340,上周的
341,上周的
342,卧槽
343,卧槽
344,上周的
345,剑柄带纹，真的就完
346,好家伙，
347,完蛋快点安排一下牢饭
348,这个篆刻加剑身的感觉，如果真的估计完蛋
349,技能前摇
350,塑料的
351,上周的？
352,这把剑寒光四射
353,?????????????????离谱!
354,高漫板子，牛的
355,卧槽
356,卧槽
357,上周哈哈哈
358,上周的（滑稽）
359,家传的没事，别怕
360,一看就玩了几十年，得到时中国还没成立
361,包桨
362,卧槽
363,上周的
364,卧槽
365,塑料
366,品相很完整，可惜头子断了
367,保存也太好了吧
368,好家伙上古老祖级别祭祀礼器
369,握草
370,我见过最漂亮的青铜剑啊
371,国宝级啊
372,卧槽
373,商周的剑都是礼器，咋可能这么长
374,上周的还差不多
375,?！
376,这个真的太漂亮了，头不断真的自己收藏值了
377,卧槽
378,上周的
379,上周的
380,就算你太公姓姜也不行啊
381,这个花纹就不像小喽喽能拥有的
382,有花纹
383,卧槽
384,B友，天天鉴B
385,上周的。
386,哈哈哈哈
387,哈哈哈哈
388,上周
389,上周的
390,哇塞
391,我靠，你这个贱
392,上周的
393,上周的
394,死刑宣告
395,轩辕剑
396,这个也太棒了
397,再来一遍
398,上周的？
399,天子剑
400,螭龙纹，商周王侯佩剑，比勾践剑还要高等级
401,上周的
402,上周的？
403,卧槽
404,这是王之剑，带饕餮的
405,死 刑 宣 告
406,把 头 玩 断 了
407,好长
408,熟坑是什么意思
409,上周的
410,太漂亮了
411,卧槽
412,一级文物
413,破坏文物了
414,我靠
415,剑主人号没了！？？？？
416,我去
417,卧槽
418,哈哈哈哈哈哈哈
419,你祖上看来是将军啊
420,手办瞩目
421,糟践了
422,商周比春秋还精致
423,直接死刑
424,还有这种纹的可不简单
425,太公盗墓的可能是
426,这把至少王侯剑！
427,国宝级
428,估计要拔完
429,上周的
430,我靠
431,真的漂亮，
432,真的漂亮
433,上周的
434,哈哈哈哈哈
435,你完了
436,你姓姬吗？
437,传下来的没问题啊
438,中国前5神剑
439,封神榜
440,螭龙纹
441,好家伙
442,上周
443,我靠 好看呐
444,这个剑好漂亮，绝对不是普通的小兵佩剑
445,文明起源
446,卧槽
447,卧槽
448,祖传
449,上周的
450,寒光
451,真好看
452,无价之宝啊
453,我的吗
454,哈？？！！！！
455,不会是上周的吧 哈哈哈
456,卧槽
457,看成色，这把剑至少盘了五代人啊！
458,我靠
459,这剑好帅啊
