,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,10.42400,滚动弹幕,25,0xffffff,0,44810fec,46615249204805639,哈哈哈哈哈收藏10万
2,118.97000,滚动弹幕,25,0xffffff,0,44810fec,46615232774144003,哈哈哈
3,29.89600,滚动弹幕,25,0xffffff,0,bf6b1b9,46561117317627911,帮我朋友看一下
4,77.88000,滚动弹幕,25,0xffffff,0,2b4ff11c,46543518996365319,ssni
5,108.89700,滚动弹幕,25,0xffffff,0,8625a866,46524039036403719,明白
6,37.05900,滚动弹幕,25,0xffffff,0,8625a866,46524000585121799,xdm，坐稳了
7,55.04800,滚动弹幕,25,0xffffff,0,9f43a676,46352768103874563,收藏是点赞3倍还多
8,8.10300,滚动弹幕,25,0xffffff,0,b37e92da,46136714107289605,祝大家身体健康
9,13.92000,滚动弹幕,25,0xffffff,0,14d363a,46130371547889669,还有42个小伙伴一起看
10,91.20700,滚动弹幕,25,0xffffff,0,cae41ec6,46078542498234371,谢谢作者
11,68.60300,底端弹幕,18,0xe70012,0,58382f3d,45994992741122053,赞
12,46.58600,滚动弹幕,25,0xffffff,0,18cfa7d6,45978790410584071,闪退怎么解？
13,120.24200,滚动弹幕,25,0xffffff,0,9c028567,45843238036176903,我真的不明白别瞎说
14,3.75900,顶端弹幕,25,0xe70012,0,f871699b,45796796134326275,为什么三连我就不说了
15,34.69500,滚动弹幕,25,0xffffff,0,7bab92fc,45793428244529157,这收藏量……
16,77.76500,滚动弹幕,25,0xffffff,0,866fc12b,45768139462410247,没有出奇怪的东西
17,68.02500,滚动弹幕,25,0xffffff,0,31fea0,45744079771795463,ipx？
18,64.56300,滚动弹幕,25,0xffffff,0,31fea0,45744027930722307,不应该是ABP吗？
19,62.45700,滚动弹幕,25,0xffffff,0,8d7567d7,45732756778385413,别被骗了，永无止境的关注！
20,59.72400,滚动弹幕,25,0xffffff,0,5a1e0fc2,45722474747265029,28在看？
21,80.44400,滚动弹幕,25,0xffffff,0,2d446cb1,45482449373757443,这可耻的收藏量
22,126.82800,滚动弹幕,25,0xffffff,0,f03f3ead,45399343640346631,有什么特殊功能
23,26.08300,滚动弹幕,25,0xffffff,0,1c99c0fb,45391156320141315,注意身体
24,18.98400,滚动弹幕,25,0xffffff,0,1c99c0fb,45391113857531975,好家伙
25,0.49900,滚动弹幕,25,0xe70012,0,3bf9aa07,45380998373310469,病毒警告！！！
26,0.73900,底端弹幕,25,0xe70012,0,3bf9aa07,45380986471448583,病毒警告！病毒警告！
27,0.73900,滚动弹幕,25,0xe70012,0,3bf9aa07,45380972963692551,病毒警告！！！病毒警告！！！
28,35.30200,滚动弹幕,25,0xffffff,0,9e0b8004,45350665299427333,86上山了
29,30.67000,滚动弹幕,25,0xe70012,0,a941e40f,45300943887007747,可恶，收藏满了
30,17.55100,滚动弹幕,25,0xffffff,0,f8af499e,45299509902180359,AE86
31,16.91000,滚动弹幕,25,0xffffff,0,b9e5f126,45291820858474503,吃李连杰
32,5.11100,滚动弹幕,25,0xffffff,0,bc60a4b4,45290879522963463,不对劲
33,39.38200,滚动弹幕,25,0xffffff,0,4e3bdf05,45286147929669637,好家伙2w点赞10w收藏
34,21.67800,滚动弹幕,25,0xffffff,0,46368111,45270533165023299,10万+
35,24.08800,滚动弹幕,25,0xffffff,0,b225f478,45267491071983619,朋友帮我看
36,66.48400,滚动弹幕,25,0xe70012,0,49a70d3a,45264508132786183,目前十万收藏。呜呜呜。。。
37,54.79500,顶端弹幕,25,0xfe0302,0,40b03534,45262846774214727,2.7万点赞，10万收藏就离谱
38,12.26100,滚动弹幕,25,0xffffff,0,b3315d16,45250995953336323,我不对劲
39,41.87600,滚动弹幕,25,0xffffff,0,479a323e,45249759761924099,好车
40,120.98700,滚动弹幕,25,0xffffff,0,e58a8668,45236225289748483,86上山了
41,37.09700,滚动弹幕,25,0xffffff,0,d77e448d,45231429822971909,开的一手漂移车
42,126.48600,滚动弹幕,25,0xffffff,0,e8014a84,45224748498026503,好家伙，收藏9w
