,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,58.71600,滚动弹幕,25,0xffffff,0,bd8c8013,46657184828751877,值几年哈哈哈哈
2,67.28400,滚动弹幕,25,0xffffff,0,97c96bf,46346862863581189,过两天？！！
3,32.52900,滚动弹幕,25,0xffffff,0,ac697126,46331587419176967,呦，宝友啊
4,10.91300,滚动弹幕,25,0xffffff,0,9f439590,46312290252226565,唐三彩
5,19.06900,滚动弹幕,25,0xffffff,0,f7973797,46264767556878339,有点东西
6,50.26000,滚动弹幕,25,0xffffff,0,6b39fbb6,46153523104055301,盗墓贼
7,18.02000,滚动弹幕,25,0xffffff,0,58e8b4ea,46120192753795077,三彩吧
8,60.78000,滚动弹幕,25,0xffffff,0,ca978ec1,46063094324527111,有觉悟
9,74.92200,滚动弹幕,25,0xffffff,0,dfc9912b,46060638536990725,盗出来再给你看看
10,10.25800,滚动弹幕,25,0xffffff,0,7c0acd4b,46045355081465859,我看见这东西就感觉有阴气
11,56.43600,滚动弹幕,25,0xffffff,0,89ceb2b3,46027992903712771,直接问年了2333
12,6.59600,滚动弹幕,25,0xffffff,0,89ceb2b3,46027957126823941,这都直接交代了，昨天盗的
13,45.01700,滚动弹幕,25,0xffffff,0,bdf82618,46002721073922055,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
14,5.58900,滚动弹幕,25,0xffffff,0,dcd781f,45995273770500099,汉彩吧，
15,10.59800,滚动弹幕,25,0xffffff,0,a544a5fd,45994061636567047,无期有望
16,57.84800,滚动弹幕,25,0xffffff,0,93ed350c,45993787805138951,哈哈哈哈哈
17,14.89900,滚动弹幕,25,0xffffff,0,e78157fe,45987481173622791,刚从地里回来吧这是
18,12.74300,滚动弹幕,25,0xffffff,0,e78157fe,45987475370803205,我去
19,30.57600,滚动弹幕,25,0xffffff,0,5755be96,45987154862538757,牛专业
20,27.88100,滚动弹幕,25,0xffffff,0,97a7555d,45957361726128133,在线量刑
21,8.55100,顶端弹幕,25,0xe70012,0,cc4fcddf,45817324742639621,马老师看个马
22,47.52700,滚动弹幕,25,0xffffff,0,1a0a3dbf,45785066419781637,像隋的
23,51.13600,滚动弹幕,25,0xffffff,0,977204ff,45754923150737411,北魏的
24,20.33700,滚动弹幕,25,0xffffff,0,977204ff,45754906984316931,北魏？
25,70.37700,滚动弹幕,25,0xffffff,0,a7b2cd6b,45753495067820037,盗
26,15.51900,滚动弹幕,25,0xffffff,0,2e21d594,45753222417612807,像这种唐三彩都值好几百万
27,8.46500,滚动弹幕,25,0xffffff,0,e6b820b,45749837010305031,来的
28,69.26000,滚动弹幕,25,0xffffff,0,b2a21554,45748375140171781,好家伙
29,12.95300,滚动弹幕,25,0xffffff,0,552a9c65,45742209530593283,哟～
30,12.47900,滚动弹幕,25,0xffffff,0,c1a1c8e0,45723297481490437,这也太过分了吧。。
31,12.64500,滚动弹幕,25,0xffffff,0,e45300c1,45718603309776899,昨天?
32,17.83800,滚动弹幕,25,0xffffff,0,e24da741,45716740751491079,昨天才挖的
33,66.99900,滚动弹幕,25,0xffffff,0,66a69ee0,45712001754202119,过两天还有一个，这么猖狂。。
34,5.06000,滚动弹幕,25,0xffffff,0,e0bf208d,45710901415247875,宝友，这可不兴摆啊
35,6.51600,滚动弹幕,25,0xffffff,0,ba0970db,45709344795787269,卧槽
36,68.33900,滚动弹幕,25,0xffffff,0,51a4854c,45708631592665093,过两天还有…这是出来了直接鉴定了出手啊
37,36.56100,滚动弹幕,25,0xffffff,0,51a4854c,45708593894260741,这土看着都是新的
38,33.35400,滚动弹幕,25,0xffffff,0,e24179e1,45707088865787911,直男视频
39,66.45900,滚动弹幕,25,0xffffff,0,7d57b80d,45704236224741379,人说的是有期徒刑4年，是个鬼的黑话
40,60.21800,滚动弹幕,25,0xffffff,0,e6a65369,45702752437796867,《过两天》
41,35.51500,滚动弹幕,25,0xffffff,0,b902e860,45680957159112707,他老嘿嘿嘿
42,66.53900,滚动弹幕,25,0xffffff,0,4495e65,45678831078473735,不让卖有个p价格
43,0.00000,滚动弹幕,25,0xffffff,0,b8207a48,45665876502380547,太猖狂了
44,21.31000,滚动弹幕,25,0xffffff,0,3d62ae68,45665575817445379,地下的东西吧
45,7.46200,滚动弹幕,25,0xffffff,0,6e9b8630,45655183482421251,卧槽
46,53.71100,滚动弹幕,25,0xffffff,0,2112e94,45651799834624005,无期
47,65.43000,滚动弹幕,25,0xffffff,0,11f406b8,45645802439704581,过两天
48,49.27000,滚动弹幕,25,0xffffff,0,11f406b8,45645789117546501,倒斗的啊
49,5.42000,顶端弹幕,25,0xe70012,0,1b566aec,45644753545986051,我寻思你这个文物怎么还能突然就来，你不是盗墓的吧？
50,5.42000,顶端弹幕,25,0x9843,0,1b566aec,45644738281340931,《昨天来的》
51,5.42000,顶端弹幕,25,0xe70012,0,1b566aec,45644731848851461,昨天盗的
52,3.23900,滚动弹幕,25,0xffffff,0,37a3976f,45641715893141511,这个壶，战汉的
53,22.86600,滚动弹幕,25,0xffffff,0,ea8cb4f8,45638573033521159,焊带的
54,50.91900,滚动弹幕,25,0xffffff,0,d08adf1d,45629616611655685,重骑兵俑？这是个军官的墓？
55,21.26800,滚动弹幕,25,0xffffff,0,a4c4770f,45628808502968327,哟喔
56,67.71300,滚动弹幕,25,0xfef102,0,f398ca39,45628417510473733,你也太猖狂了
57,70.09900,顶端弹幕,25,0xfef102,0,df8c11a2,45624526641299461,过几天见不到了哈哈哈哈哈
58,58.77700,滚动弹幕,25,0xffffff,0,140a87ca,45620136501051397,哇
