,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,50.15800,滚动弹幕,25,0xffffff,0,cbf75b75,46689107062030343,不给流通……以后是不是就没价值了，哈哈
2,23.71800,滚动弹幕,25,0xffffff,0,2a3df82b,46530480046604295,天天鉴刑
3,26.23800,滚动弹幕,25,0xffffff,0,c1bcc670,46524279596515331,尿壶？
4,80.53100,滚动弹幕,25,0xffffff,0,7664fd66,46507021867941895,资深工作者了
5,25.92800,滚动弹幕,25,0xffffff,0,21c8ac9e,46485895776829447,卣
6,51.83000,滚动弹幕,25,0xffffff,0,c18dd16c,46466715407089667,卣
7,16.62000,滚动弹幕,25,0xe70012,0,e9a7a1a5,46455986554667011,丹炉
8,49.95700,滚动弹幕,25,0xffffff,0,80b5610a,46349685256355845,好家伙
9,17.31800,滚动弹幕,25,0xffffff,0,f850c21a,46299998960746499,照片是张起灵和三叔的合照？
10,82.83500,滚动弹幕,25,0xffffff,0,200530ac,46292904547713029,前面说床上有古尸的你站住
11,79.22500,滚动弹幕,25,0xffffff,0,8dec8f89,46280164857872391,戴佳伟
12,49.33900,滚动弹幕,25,0xffffff,0,79c03924,46267737257803847,全是青铜啊
13,19.84800,滚动弹幕,25,0xffffff,0,e02272ee,46266334941544455,魂瓶？
14,11.71100,滚动弹幕,25,0xffffff,0,9199f9fb,46122392622202883,都是来这自首的
15,3.09900,滚动弹幕,25,0xffffff,0,7dc5fcd1,46088514691399687,这BGM一秒魂穿泡泡桑
16,38.97100,滚动弹幕,25,0xffffff,0,d6f6f72c,46073237334917127,卧槽
17,27.62500,滚动弹幕,25,0xffffff,0,85ab6311,46055629053755397,这照片，妈呀，我同学，其他两个弹幕也是同学吗
18,89.17900,滚动弹幕,25,0xffffff,0,e78157fe,46025197707853827,下半辈子有着落了
19,59.27900,滚动弹幕,25,0xffffff,0,a57a74e5,46020020596637701,狗胆包天
20,31.89800,滚动弹幕,25,0xffffff,0,86a5b2b3,46019382745759747,黏黏糊糊，刚出土？
21,51.47500,滚动弹幕,25,0xfef102,0,dcd781f,45995571301842949,好家伙，都是半阴半阳的藏品，怕是贩子吧
22,5.13900,滚动弹幕,25,0xfef102,0,dcd781f,45995495945928707,土都没刷，我也是服了
23,87.77900,滚动弹幕,25,0xffffff,0,adc3597f,45994497636040711,好家伙，公家饭能吃到老了
24,87.10300,滚动弹幕,25,0xffffff,0,97a7555d,45957448871182343,老祖宗挖的时候落墓里面的
25,17.67900,滚动弹幕,25,0xffffff,0,2e663cb,45942587615346695,土还有点湿？
26,36.19700,滚动弹幕,25,0xffffff,0,aef16e77,45941190831898629,我去
27,81.03900,滚动弹幕,25,0xffffff,0,48f94ad8,45899283725549571,封面小图我以为是热水袋
28,25.38500,滚动弹幕,25,0xffffff,0,64e9a650,45895137055735813,sc壶
29,64.73900,滚动弹幕,25,0xffffff,0,60be46c3,45860703996739587,当场跑路
30,33.57900,滚动弹幕,25,0xffffff,0,60be46c3,45860682393976835,沃日，够枪毙了
31,38.27300,滚动弹幕,25,0xffffff,0,f35cfb9f,45855260731768839,卧槽
32,9.58800,滚动弹幕,25,0xffffff,0,6a6517c,45848309760786435,无期徒刑
33,23.78200,滚动弹幕,25,0xffffff,0,e22f0311,45814104319852549,铜卣
34,76.45900,滚动弹幕,25,0xffffff,0,f269113c,45809571510353927,好家伙
35,54.86100,滚动弹幕,25,0xffffff,0,670589c6,45809459693879299,还精确到两位有效数字
36,74.55900,滚动弹幕,25,0xffffff,0,b8f71508,45801460033650691,一线工作者
37,63.89200,滚动弹幕,25,0xffffff,0,b8f71508,45801451001217031,哈哈哈
38,86.41200,滚动弹幕,25,0xffffff,0,1f78bc21,45797287235944453,日子越来越有判头了
39,13.82200,顶端弹幕,25,0x927939,0,9b8762fe,45768401936711685,夜壶
40,51.87400,滚动弹幕,25,0xffffff,0,ca1e8c28,45748698641072133,民 间 工 匠
41,32.14200,滚动弹幕,25,0xffffff,0,a28bd606,45726343778271239,wc
42,92.26500,滚动弹幕,25,0xffffff,0,f35cfb9f,45723026952552451,哈哈哈哈
43,35.42400,滚动弹幕,25,0xffffff,0,f35cfb9f,45722997150449733,卧槽
44,43.39100,滚动弹幕,25,0xffffff,0,78f47396,45722716266299395,卣
45,46.94400,滚动弹幕,25,0xffffff,0,eb96ea4a,45708875026923527,好家伙
46,58.57900,滚动弹幕,25,0xffffff,0,422d76fb,45704876709117959,还是铰接的
47,12.04900,滚动弹幕,25,0xffffff,0,aa052af0,45703914194993159,尿壶
48,92.04300,滚动弹幕,25,0xffffff,0,64e4e009,45703179762925575,哈哈哈哈哈哈
49,64.04300,滚动弹幕,25,0xffffff,0,64e4e009,45703164919283715,哈哈哈哈哈哈
50,74.75200,滚动弹幕,25,0xfef102,0,ab3b5015,45701765548998661,《先崩后问》
51,90.02600,滚动弹幕,25,0xffffff,0,d7cef076,45700904223506439,抢答
52,4.92700,滚动弹幕,25,0xffffff,0,335c50d1,45693198625931267,优
53,10.87600,滚动弹幕,25,0xffffff,0,2aa8a644,45677450411638787,盗时候再来
54,57.07500,滚动弹幕,25,0xffffff,0,e84b67a4,45675742151311363,商周水表
55,32.54400,滚动弹幕,25,0xffffff,0,81a38974,45666840852561923,看见标题就已经笑了
