,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,159.22500,滚动弹幕,25,0xffffff,0,3528cb6b,46676585592913925,wegame？狗都不用
2,150.24100,底端弹幕,25,0xfef102,0,2f751ba,46560645006491653,创意工坊
3,165.18000,滚动弹幕,25,0xffffff,0,fa5a78ab,46537184570245127,这个壁？纸
4,115.09800,滚动弹幕,25,0xffffff,0,a0fce9c8,46535972815896579,像极了我存档之后可劲儿作
5,255.81400,滚动弹幕,25,0xffffff,0,a609e282,46398326584639495,这里建议用TranslucentTB微软商店就有
6,28.19900,滚动弹幕,25,0xffffff,0,e56105d5,46304055773888517,平平淡淡才是真
7,141.53900,滚动弹幕,25,0xffffff,0,ebf25b35,46295440707551235,软件念对了，steam念错了
8,153.50200,滚动弹幕,25,0xffffff,0,f55cc2dc,46265218621243395,安吉人怪怪的
9,200.72800,滚动弹幕,25,0xffffff,0,15505b4d,46264578778071047,但是腾讯这个老出bug
10,118.41300,滚动弹幕,25,0xffffff,0,32b07c2a,46223393741602821,赞赞赞
11,106.91300,滚动弹幕,25,0xffffff,0,32b07c2a,46223387743223811,容我慢慢看
12,53.64100,滚动弹幕,25,0xffffff,0,8baf0ed3,46174191431974915,空降成功
13,2.57200,滚动弹幕,25,0xffffff,0,441741e7,46164294126010371,真实
14,221.35900,滚动弹幕,25,0xffffff,0,cc91deeb,45806215771979783,柚
15,132.55800,滚动弹幕,25,0xffffff,0,fc55b142,45746109002809351,wobuchouyan
16,7.14600,顶端弹幕,25,0xffffff,0,dde15693,45727378982830087,空降00:48
17,259.71100,滚动弹幕,25,0xffffff,0,4d02c467,45584290769534981,这个用段时间要激活码的
18,4.23400,滚动弹幕,25,0xffffff,0,4069e905,45441337463930883,真实
19,64.22300,滚动弹幕,25,0xffffff,0,75b30da6,45437448633188355,二刷
20,359.55000,滚动弹幕,25,0xffffff,0,93a9527,45432403023364099,不讲武德
21,6.58000,滚动弹幕,25,0xffffff,0,7b05bb87,45403960832425987,是我没错了
22,162.21500,滚动弹幕,25,0xffffff,0,53069f1d,45403884343001091,《你要小心》
23,397.32600,滚动弹幕,25,0xffffff,0,cd703f2,45394243013312515,默认舒服
