,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,31.57900,顶端弹幕,25,0xe70012,0,19899eca,44911589991120899,阴 间 朋 友
2,44.39000,顶端弹幕,25,0xfef102,0,2db2e49d,44896172276973575,供 认 不 讳
3,38.37600,顶端弹幕,25,0xe70012,0,dfd6be2,44405624822300679,天  天  挖  坟
4,83.94300,滚动弹幕,25,0xffffff,0,6fc210c0,46695355969437699,病床了啊
5,104.70400,滚动弹幕,25,0xffffff,0,7b575d19,46688322499641351,被僵尸伤了，在医院直播，哈哈哈哈
6,32.13000,滚动弹幕,25,0xffffff,0,97f1dbb2,46663662489305091,已经在牢里了该啊哈哈，看床单
7,41.05900,滚动弹幕,25,0xffffff,0,1a68e02a,46656098432188423,狂啊
8,43.92300,滚动弹幕,25,0xffffff,0,b691140a,46654464620232711,哈哈哈哈哈哈哈
9,52.40800,滚动弹幕,25,0xffffff,0,bdc51b82,46650607678783493,我有一个朋友
10,58.30600,滚动弹幕,25,0xffffff,0,b9fc2d27,46647545699500035,朋友宋的
11,66.22100,滚动弹幕,25,0xffffff,0,c7436700,46629887335727107,都是借口借口~
12,45.65900,滚动弹幕,25,0xffffff,0,ec604671,46629411407527939,你小心点啊
13,40.29900,滚动弹幕,25,0xffffff,0,ec604671,46629404290842627,狂
14,68.83600,滚动弹幕,25,0xffffff,0,38c2336e,46626857144549383,编
15,64.36100,滚动弹幕,25,0xe70012,0,6655f47c,46615634353061893,不要解释
16,41.29900,滚动弹幕,25,0xffffff,0,ff94a5a2,46609363166560259,自投罗网
17,12.59900,滚动弹幕,25,0xffffff,0,fe7a792c,46583645308715015,俑这种东西都是陪葬的.
18,22.69900,滚动弹幕,25,0xffffff,0,ab051f63,46579749669044229,／ ￣￣￣￣ ＼　 |　乀         　√   \　 ／￣￣￣￣﹉￣＼|　 ◉　      ◉      |   |   妈耶宝友，        \\　      / ▱\       
19,46.56800,滚动弹幕,25,0xffffff,0,142e9fd8,46577409753350147,哈哈哈朋友宋的
20,40.44500,顶端弹幕,25,0xe70012,0,c9bdc14f,46577127860469763,10年以上15年以下有期徒刑 
21,59.47300,滚动弹幕,25,0xffffff,0,1debf869,46576354326478853,老一帮老南蛮子天天盗墓也不怕损阳寿
22,57.00700,滚动弹幕,25,0xffffff,0,ff0ae630,46576210340216837,无意冒犯
23,68.01000,滚动弹幕,25,0xffffff,0,b2382f8c,46567920256417795,信托
24,21.58000,滚动弹幕,25,0xffffff,0,4fc79b70,46566679003004933,这个人被抓了
25,2.52500,滚动弹幕,25,0xffffff,0,83d17bd5,46539480642879491,哎我的天，看到这个我真的脊背突然发凉
26,66.13900,滚动弹幕,25,0xffffff,0,fac74d4f,46538503426670595,哈哈哈哈哈哈哈哈哈哈哈哈
27,34.69500,滚动弹幕,25,0xffffff,0,12eb7ba7,46530469528338435,老朋友了
28,19.90200,滚动弹幕,25,0xffffff,0,9f85a71b,46529672517779463,就这?就这
29,12.47900,滚动弹幕,25,0xffffff,0,9f85a71b,46529668646961155,就这?
30,40.37100,滚动弹幕,25,0xffffff,0,bf32e214,46525676778422275,阴间朋友
31,44.52600,滚动弹幕,25,0xffffff,0,74fdba5b,46523607790649347,2233
32,65.01200,滚动弹幕,25,0xffffff,0,beeadc44,46516537818349575,哈哈哈哈哈
33,10.65900,滚动弹幕,25,0xffffff,0,b48518d0,46495762778947591,大金牙
34,36.16500,滚动弹幕,25,0xffffff,0,219d005e,46484705974419461,朋友
35,71.33000,滚动弹幕,25,0xffffff,0,74fdba5b,46474870987423749,开始编
36,60.67600,滚动弹幕,25,0xffffff,0,db1f5829,46471963150385155,这个 勇 啊
37,10.03900,滚动弹幕,25,0xffffff,0,346cec0c,46469196293341187,甜蜜家园
38,4.49400,顶端弹幕,25,0xffffff,0,25d3eb3a,46439470209695747,《盗墓笔记》
39,48.02400,滚动弹幕,25,0xffffff,0,4af5532a,46438641162518531,小心点
40,47.42200,滚动弹幕,25,0xffffff,0,a31497aa,46435480928518147,自报家门
41,41.31900,滚动弹幕,25,0xffffff,0,ed53d087,46430398655758341,实诚人
42,78.46000,滚动弹幕,25,0xffffff,0,29eb55bb,46396903723106311,已经在里面了
43,102.76300,滚动弹幕,25,0xffffff,0,8b78242d,46396153033392133,墓一空
44,40.34000,滚动弹幕,25,0xffffff,0,cfc744e4,46394677748826117,也不怕遭谴呐
45,40.41900,顶端弹幕,25,0xe70012,0,e7f685da,46391597328760837,开  门  见  山
46,47.83800,滚动弹幕,25,0xffffff,0,73c3e942,46390967625842691,hhh
47,73.05900,滚动弹幕,25,0xffffff,0,55941c44,46388135887110147,监狱配色？
48,49.74100,滚动弹幕,25,0xffffff,0,df958c82,46382415013216259,哈哈哈
49,41.53900,滚动弹幕,25,0xffffff,0,71c42969,46379841374650373,自爆
50,22.05900,滚动弹幕,25,0xffffff,0,f714eca8,46361222575030277,下面什么也没有
51,74.55900,滚动弹幕,25,0xffffff,0,3e13e517,46357616316121093,这是在病床上
52,55.79900,滚动弹幕,25,0xffffff,0,65b2217b,46357001910353927,好家伙
