,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,71.54800,滚动弹幕,25,0xffffff,0,fbf2f7d8,46694289206935557,笑nm
2,41.55900,滚动弹幕,25,0xffffff,0,eeb130b4,46655442652233735,祝你有个好梦
3,23.45900,滚动弹幕,25,0xffffff,0,eeb130b4,46655425410498565,太气人了这些人
4,3.31100,滚动弹幕,25,0xffffff,0,2eb46375,46638863750266887,盗墓的吧
5,21.78000,顶端弹幕,25,0xe70012,0,2075f94,46629142238068741,文物落到这些人手里，可真是倒八辈子血霉了
6,45.66400,滚动弹幕,25,0xffffff,0,eae88182,46626122213883911,怎么睁着眼
7,21.10600,滚动弹幕,25,0xffffff,0,eae88182,46626109348904967,有被吓到
8,18.86300,滚动弹幕,25,0xffffff,0,83ff644a,46626067628687365,非常6＋7
9,2.34900,滚动弹幕,25,0xffffff,0,5eea4f4e,46619079426965509,眼睛突然睁开
10,34.06300,滚动弹幕,25,0xffffff,0,7b698a7b,46617680680583175,小十年大12年吧
11,79.46700,滚动弹幕,25,0xffffff,0,e88d2be0,46611610832732165,陪葬东西不害怕吗
12,35.21800,滚动弹幕,25,0xffffff,0,8382d799,46611118370586631,但是也算???
13,71.82900,滚动弹幕,25,0xffffff,0,a18b1d6c,46606563034005507,老公盗墓的
14,40.66000,滚动弹幕,25,0xffffff,0,1ec8f93c,46604161902968837,老文盲了
15,36.62800,滚动弹幕,25,0xffffff,0,6d1cee01,46584544071516163,好家伙人没了
16,18.83700,滚动弹幕,25,0xffffff,0,29e5727d,46578057240641543,这
17,74.39700,滚动弹幕,25,0xffffff,0,f71f86b3,46571322602422277,放屁
18,91.90000,滚动弹幕,25,0xffffff,0,d87867d6,46564405362032647,因为说的是价值
19,9.57900,滚动弹幕,25,0xffffff,0,da1c052f,46559758620557317,非常六加七啊
20,73.14300,滚动弹幕,25,0xffffff,0,184f1242,46555191207002115,还是团伙作案
21,2.66300,顶端弹幕,25,0x9843,0,41adfb80,46545726393024519,未被抓捕，只是报道
22,65.79100,滚动弹幕,25,0xffffff,0,bf46645b,46539206707642371,笑你m
23,73.97900,滚动弹幕,25,0xffffff,0,1e6be534,46531987172229127,刚盗的
24,60.41600,滚动弹幕,25,0xffffff,0,5378312,46530844779085827,不懂？
25,28.67200,滚动弹幕,25,0xffffff,0,5378312,46530825521987591,nm被切了
26,32.80300,滚动弹幕,25,0xffffff,0,bf32e214,46526979903586307,无期徒刑
27,93.20500,滚动弹幕,25,0xffffff,0,55941c44,46525845712404485,数罪并罚
28,13.50200,滚动弹幕,25,0xffffff,0,d6cfc9bf,46525454595653637,这是什么徒刑啊
29,81.64100,滚动弹幕,25,0xffffff,0,80ac322e,46517524516831237,外包鉴宝
30,4.18000,滚动弹幕,25,0xffffff,0,492451ce,46515841536098311,已经被抓了
31,35.99900,滚动弹幕,25,0xffffff,0,5a414b61,46515791494905861,宝友这可不兴带呀
32,13.14000,滚动弹幕,25,0xffffff,0,492451ce,46515606603169797,我吹了一下
33,3.18000,滚动弹幕,25,0xffffff,0,492451ce,46515597056933891,这要是真的直接枪毙吧
34,49.45000,滚动弹幕,25,0xffffff,0,1276d0ae,46515345022255109,沙雕问题
35,29.25100,滚动弹幕,25,0xffffff,0,54d010ff,46510215155154949,好家伙我瞅宝友你就是个极品
36,57.42800,滚动弹幕,25,0xffffff,0,81bf4dcd,46495941283282951,敢问四年多少钱
37,55.46800,滚动弹幕,25,0xffffff,0,377350e1,46495102275682311,一年等于十万块
38,61.05400,滚动弹幕,25,0xffffff,0,eb6ea01,46494541342048259,家里那口子
39,33.81400,滚动弹幕,25,0xffffff,0,b1eb18dd,46492682326376453,缺德
40,12.93900,滚动弹幕,25,0xffffff,0,3de0c713,46492163283877895,古代程序员的头像
41,70.91100,滚动弹幕,25,0xffffff,0,552f7ec4,46491965918281731,盗墓贼
42,65.98700,滚动弹幕,25,0xffffff,0,d6e832a0,46489769907060743,听到刑期十分高兴
43,66.05500,滚动弹幕,25,0xffffff,0,15a1445e,46483937937063943,宝友走好，进去好好蹲着
44,65.73900,滚动弹幕,25,0xffffff,0,f0a5baa5,46462357773221895,这个值几年
45,60.22200,滚动弹幕,25,0xffffff,0,8d412614,46457781736701955,留到现在大概不都是陪葬吗
46,35.77900,滚动弹幕,25,0xffffff,0,b126d09f,46456798090100741,是，你就关注你那b品相啥也不懂就看看钱
47,59.80400,滚动弹幕,25,0xffffff,0,4f35948d,46449020968632325,？？？？
48,74.10200,滚动弹幕,25,0xffffff,0,5718230c,46448838596100101,笑？？
49,94.85900,滚动弹幕,25,0xffffff,0,fd7972b8,46446879485984773,开门吧，我们真是送温暖哒
50,91.33400,滚动弹幕,25,0xffffff,0,2b4d59b6,46445680893362183,厉害？
51,68.14300,滚动弹幕,25,0xffffff,0,2b4d59b6,46445666526298117,《我也不懂》
52,65.41900,滚动弹幕,25,0xffffff,0,ef794529,46443860772519943,笑nm
53,53.83800,滚动弹幕,25,0xffffff,0,28372408,46443337254699013,日子有判头了
54,53.95200,滚动弹幕,25,0xffffff,0,bc23e2dc,46443080441135111,听到陪葬都无所谓了？
55,55.95200,滚动弹幕,25,0xffffff,0,6d916c86,46442879080464455,举报了
56,32.17100,滚动弹幕,25,0xffffff,0,9cf3601a,46442825990012933,凶案现场
57,82.81700,滚动弹幕,25,0xffffff,0,dc1dcae7,46439048497594371,这是真的嚣张了
58,67.64600,滚动弹幕,25,0xffffff,0,e70e3495,46435455891144709,按邢论价
59,39.33900,滚动弹幕,25,0xffffff,0,f50cfd2b,46433517815988227,说不定有一天还能用到
60,82.49400,滚动弹幕,25,0xffffff,0,362f69ae,46420079621963781,笑nm呢笑
61,58.30100,滚动弹幕,25,0xffffff,0,acdc2391,46400149016018951,好家伙，越来越嚣张了
62,68.28300,滚动弹幕,25,0xffffff,0,e5a34250,46397812631404549,？
63,82.54600,滚动弹幕,25,0xffffff,0,95cd1562,46386403341238277,摸金校尉
64,74.43100,滚动弹幕,25,0xffffff,0,95cd1562,46386399070912515,墓里来的
65,12.45900,滚动弹幕,25,0xffffff,0,65764b2b,46386152185266183,我看到屏幕上有头发我还吹了一下
66,50.66100,滚动弹幕,25,0xffffff,0,e6ad9ac7,46376893915594757,这个头的身子[doge]好像在哪里见过啊宝友​
67,66.41200,滚动弹幕,25,0xffffff,0,d1461f5a,46367935191056387,这个漂亮，比刚才俩都得多判一年吧？
68,40.15100,滚动弹幕,25,0xffffff,0,552f7ec4,46353052028895239,盗墓贼
69,73.58200,滚动弹幕,25,0xffffff,0,bbbe0f3f,46352667053654023,？??
70,78.78300,顶端弹幕,25,0xffff00,0,b3474aea,46351630275182599,盗墓贼
71,78.78300,滚动弹幕,25,0xffffff,0,60bb045e,46351585240940551,呵呵 地鼠
72,75.23600,滚动弹幕,25,0xffffff,0,48bd6ebc,46349106978750469,这两也是极品
73,91.79600,滚动弹幕,25,0xffffff,0,be0990ac,46344232230715397,倒斗的
74,54.35000,滚动弹幕,25,0xffffff,0,249b2fe8,46338823257325571,日子有盼头
75,14.82900,滚动弹幕,25,0xffffff,0,2c96bd10,46334947978903557,刑部尚书来了
76,71.88200,滚动弹幕,25,0xffffff,0,bd409bab,46325921665777669,帮墓主人问问
77,67.06700,滚动弹幕,25,0xffffff,0,349219b4,46317886508630019,不懂搞这么多
78,15.85000,滚动弹幕,25,0xffffff,0,6cc420a4,46313412755980293,无期
79,40.07600,滚动弹幕,25,0xffffff,0,e7fa83b5,46303446641410055,极品好家伙
80,26.35900,滚动弹幕,25,0xffffff,0,e8571ee1,46303129041895427,直接嘣了吧
81,69.46000,滚动弹幕,25,0xffffff,0,cb843030,46300447877103619,这是办公室吧？
82,40.65600,滚动弹幕,25,0xffffff,0,232a8d98,46298030392475653,我擦
83,79.13900,滚动弹幕,25,0xffffff,0,810ed193,46296524689768455,好家伙，二鉴定
84,6.53900,滚动弹幕,25,0xffffff,0,823ede67,46296468088160261,人头落地
