,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,59.84200,滚动弹幕,25,0xffffff,0,7b575d19,46681322185293829,哈哈哈哈哈哈哈哈
2,61.25500,滚动弹幕,25,0xffffff,0,135308e7,46650921263824899,牛逼 售后
3,58.83700,滚动弹幕,25,0xffffff,0,219d005e,46485070722629639,集团产品
4,21.99300,滚动弹幕,25,0xffffff,0,320700d4,46473916416262147,还少个羊
5,39.01900,滚动弹幕,25,0xffffff,0,2b1f568b,46467824923705351,新洲区吧，一万左右，
6,60.73100,滚动弹幕,25,0xffffff,0,c0c38f38,46432800068861959,哈哈哈
7,28.96900,滚动弹幕,25,0xffffff,0,ee8616fe,46394401207353351,拿在手里轻飘飘
8,12.74600,滚动弹幕,25,0xffffff,0,84cefb85,46389818731003907,1W都是4环了 好吗！
9,66.53600,滚动弹幕,25,0xffffff,0,644fe0,46386729941204997,售后
10,38.17900,滚动弹幕,25,0xffffff,0,9ecd134e,46355000715640835,一万在武汉城区买不到房的，各位朋友。。。。
11,15.35300,滚动弹幕,25,0xffffff,0,d3e99b87,46342728527642629,塑料碗
12,64.06100,滚动弹幕,25,0xffffff,0,97c96bf,46340416578519045,哈哈哈哈哈哈哈哈哈工地老头
13,59.26800,滚动弹幕,25,0xffffff,0,97c96bf,46340410461650947,哈哈哈哈哈哈哈哈哈
14,36.66000,滚动弹幕,25,0xffffff,0,ffe7fa2d,46261719816208451,这么便宜？
15,55.55300,滚动弹幕,25,0xffffff,0,9021d865,46223501921615879,武汉蔡甸的吧？
16,11.48000,滚动弹幕,25,0xffffff,0,ee8616fe,46202119298482183,一眼假
17,71.91700,滚动弹幕,25,0xffffff,0,378eb9d0,46165584123002885,哈哈哈哈哈
18,62.52000,滚动弹幕,25,0xffffff,0,cd705b67,46155577300090885,售后服务
19,30.08100,滚动弹幕,25,0xffffff,0,64bf057a,46044214230253573,贫穷使人精神失常做白日梦
20,36.83500,滚动弹幕,25,0xffffff,0,86a5b2b3,46018613956575235,换套房
21,28.73000,滚动弹幕,25,0xffffff,0,86a5b2b3,46018609686249477,可以找门路以物换物
22,15.54700,滚动弹幕,25,0xffffff,0,86a5b2b3,46018602799202307,不能卖
23,4.71800,滚动弹幕,25,0xffffff,0,86a5b2b3,46018544515153925,又是五年
24,28.09700,滚动弹幕,25,0xffffff,0,b59775ab,45986322683265027,赐的吧
25,14.25000,顶端弹幕,25,0xffffff,0,21dec3a1,45985071734718471,上周的
26,63.42000,滚动弹幕,25,0xfef102,0,1d752a8b,45927590679019523,直接说真假啊 屁话多
27,27.87100,滚动弹幕,25,0xffffff,0,d87867d6,45904186195836931,爷爷土都没擦
28,52.07400,滚动弹幕,25,0xffffff,0,f9a9af73,45904155519746053,武汉四环才能一万…
29,72.46100,滚动弹幕,25,0xffffff,0,13a73f29,45893128384675845,一万买郊区都买不到了
30,33.10200,滚动弹幕,25,0xffffff,0,1e549602,45855137928839171,自家产品
31,33.79800,滚动弹幕,25,0xffffff,0,36770f06,45854306843230213,象牙的？
32,15.37900,滚动弹幕,25,0xffffff,0,519d04aa,45848478504976387,工地套装
33,14.70700,滚动弹幕,25,0xe70012,0,16c188ee,45844189095657475,祖传
34,39.42300,滚动弹幕,25,0xffffff,0,634331f1,45830612798406661,人一万是城郊
35,3.62000,滚动弹幕,25,0xffffff,0,6cc7402d,45823398610206727,怎么跟头骨盖儿似的。
36,16.96400,滚动弹幕,25,0xffffff,0,69f23ab9,45819569678843911,一眼假
37,17.22000,滚动弹幕,25,0xffffff,0,5f13e4a2,45811015267909637,祖传还能有差不多吗？
38,62.16500,滚动弹幕,25,0xffffff,0,6fd15d6b,45787435744362501,差个万啊老师
39,39.54900,滚动弹幕,25,0xffffff,0,8e8918ce,45757879415734277,不是吧，我们这18线小城市都一万多
40,36.64600,滚动弹幕,25,0xffffff,0,74a73858,45749800671903751,祖传的还带土？
41,40.45100,滚动弹幕,25,0xffffff,0,b5cab595,45730630502187011,这个我都认识哈哈哈，最常见的骗局。
42,30.54700,滚动弹幕,25,0xffffff,0,863d2c76,45718337939832839,套装
43,44.65900,顶端弹幕,25,0xffffff,0,f462ef25,45709870776188935,武汉郊区？
44,43.01900,滚动弹幕,25,0xffffff,0,89872457,45705757898309639,武汉一万？我小县城都一万一
45,65.85300,滚动弹幕,25,0xffffff,0,a34b6180,45703145152053251,三十一个，摸多了不长个
46,58.51200,滚动弹幕,25,0xffffff,0,f94bc1a2,45702559160074243,哈哈哈哈
47,48.91900,滚动弹幕,25,0xffffff,0,8c8da940,45702272366673925,现代工业的馋赤品
48,24.81900,滚动弹幕,25,0xffffff,0,9f8d381c,45701119656067077,好假
49,7.10500,滚动弹幕,25,0xffffff,0,3ae721b8,45694746132217863,六个钱包
50,6.93900,滚动弹幕,25,0xffffff,0,97feb9a6,45676638743035909,完了，集团货
51,61.21900,滚动弹幕,25,0xffffff,0,57f13fb6,45675643184087045,售后服务平台
52,25.17900,滚动弹幕,25,0xffffff,0,57f13fb6,45675620081860611,工地造型
53,27.93400,滚动弹幕,25,0xffffff,0,15dabdc3,45675501873266691,工地系列
54,13.90200,滚动弹幕,25,0xffffff,0,a084d44,45672598092120071,工地老头套装
55,58.13900,滚动弹幕,25,0xffffff,0,2f2c15e2,45671082433708099,红红火火恍恍惚惚哈哈哈哈哈哈哈
56,64.59300,滚动弹幕,25,0xffffff,0,4cd65b4,45667234685648903,哈哈哈哈
57,25.13900,滚动弹幕,25,0xffffff,0,4cd65b4,45667205715591175,工地大开门
58,14.75300,滚动弹幕,25,0xffffff,0,4cd65b4,45667192226185219,吹吧
59,41.51100,滚动弹幕,25,0xffffff,0,2112e94,45665052073132037,一万是江夏，市中心更贵
60,15.49500,滚动弹幕,25,0xffffff,0,734e0455,45660105088172035,哈哈哈哈哈
61,28.95000,滚动弹幕,25,0xffffff,0,e191efaf,45659695941156871,套装
62,27.15900,滚动弹幕,25,0xffffff,0,3bde2a58,45652806173982723,我都认识这个菩萨了
63,35.52900,滚动弹幕,25,0xffffff,0,5a6fab4,45649099687460867,这么便宜
