,弹幕出现时间,弹幕模式,弹幕字体大小,弹幕十六进制颜色,弹幕池(0为普通池，1为字幕池，2为特殊池),弹幕发送者加密id,弹幕id,弹幕内容
1,62.78400,滚动弹幕,25,0xffffff,0,55901d27,46650185585524741,草草草
2,54.99000,滚动弹幕,25,0xffffff,0,49dc2fcd,46606584510939139,摸多了不长个
3,69.82700,滚动弹幕,25,0xffffff,0,49dc2fcd,46606554873987075,摸多了不长个
4,62.06900,滚动弹幕,25,0xffffff,0,fac74d4f,46605348720082947,哈哈哈哈哈哈哈哈哈哈哈哈
5,51.35900,滚动弹幕,25,0xffffff,0,ceb9a51b,46583867109801987,《压手》
6,19.01600,顶端弹幕,25,0x683a7b,0,2884675,46579319480778757,在清华，因为清华紫光
7,45.19900,滚动弹幕,25,0xffffff,0,3fcac5d,46574537425813511,哈哈哈，上周祖传的
8,49.75900,滚动弹幕,25,0xffffff,0,5a1bfdae,46572545971322885,你很刑
9,40.73900,滚动弹幕,25,0xffffff,0,383d3679,46571347210403843,假的
10,15.93900,顶端弹幕,25,0xe70012,0,479d967d,46563455243124741,心脏骤停
11,22.98100,滚动弹幕,25,0xffffff,0,bf32e214,46536418318090245,阴间
12,5.26900,滚动弹幕,25,0xffffff,0,86a4f705,46534884107747333,哈哈哈哈哈
13,66.11400,滚动弹幕,25,0xffffff,0,13600d22,46530425636519941,哈哈揭穿了
14,71.13500,滚动弹幕,25,0xffffff,0,7c296f30,46530097423843335,老贾
15,17.29800,滚动弹幕,25,0xffffff,0,7c296f30,46530069177303045,是啊
16,15.62800,滚动弹幕,25,0xffffff,0,38e06acf,46453022726291461,阴间灯光
17,3.99300,滚动弹幕,25,0xffffff,0,459a8ec1,46434406622035971,哈哈哈哈
18,41.25000,滚动弹幕,25,0xffffff,0,395a6881,46422183439237125,哈哈哈哈哈哈
19,56.49900,滚动弹幕,25,0xffffff,0,7cbfa9a4,46403041519730691,哈哈哈哈哈哈哈哈梦幻联动
20,10.87400,滚动弹幕,25,0xffffff,0,c50701a2,46377098519511045,哈哈哈哈哈哈哈哈
21,26.41900,滚动弹幕,25,0xffffff,0,9a36e16d,46369631594610691,战术舔舌笑开了花
22,7.01900,滚动弹幕,25,0xffffff,0,536b61c4,46357526948085765,这是哪里啊？
23,16.26800,滚动弹幕,25,0xffffff,0,c4ada99e,46345508394369031,笑死我了
24,9.91600,滚动弹幕,25,0xffffff,0,c4ada99e,46345505003274245,哈哈哈哈
25,32.07300,滚动弹幕,25,0xffffff,0,fe62c8ee,46345184414269443,rgb灯？
26,66.77400,滚动弹幕,25,0xffffff,0,e4432684,46328098722938885,几块钱
27,38.39000,滚动弹幕,25,0xffffff,0,e4432684,46328083839451141,哈哈哈哈
28,9.00300,滚动弹幕,25,0xffffff,0,4aab75a3,46309773664583685,哈哈哈呵呵呵
29,52.19700,滚动弹幕,25,0xffffff,0,888dbea3,46305497691717635,哈哈哈哈哈哈
30,7.09900,滚动弹幕,25,0xffffff,0,e8571ee1,46303788939083781,哈哈哈哈哈哈哈哈哈哈哈哈
31,11.32800,滚动弹幕,25,0xffffff,0,eba6e7cc,46303535942336517,哈哈哈哈哈哈哈哈哈哈哈哈哈
32,13.03200,滚动弹幕,25,0xffffff,0,709b4278,46266558983962631,地府哈哈哈哈哈哈
33,2.09900,滚动弹幕,25,0xfef102,0,cf1489ae,46258056737062917,阴间鉴宝
34,29.16900,滚动弹幕,25,0xffffff,0,2adf1c9d,46257749286715395,紫外线杀毒
35,15.61400,顶端弹幕,25,0x683a7b,0,44b1bd78,46249187768532999,紫光阁
36,13.73900,滚动弹幕,25,0xffffff,0,866987cb,46240757918990341,哈哈哈
37,34.66500,滚动弹幕,25,0xffffff,0,eabe8b5,46225732009459717,哈哈哈哈哈哈
38,14.75900,滚动弹幕,25,0xffffff,0,e3ecbed5,46216840624996357,植物补光灯
39,31.50700,滚动弹幕,25,0xffffff,0,f6e4a0f1,46199374895120391,哈哈斗里鉴宝
40,43.85700,滚动弹幕,25,0xffffff,0,da35bde8,46197865821241349,哈哈哈哈哈哈哈哈哈
41,10.38800,滚动弹幕,25,0xffffff,0,18bb47da,46173557268938757,哈哈哈哈哈哈哈哈哈哈哈
42,18.77000,滚动弹幕,25,0xffffff,0,f0d42b6c,46172747060477959,哈哈哈哈
43,28.34100,滚动弹幕,25,0xffffff,0,aead7693,46171823272361991,哈哈哈哈
44,55.95700,滚动弹幕,25,0xffffff,0,c2835ae2,46164844773638151,摸多了不长个
45,16.05900,滚动弹幕,25,0xffffff,0,68420e40,46159481697468423,紫气东来
46,30.49200,滚动弹幕,25,0xffffff,0,cd705b67,46154526054940675,哈哈哈哈哈哈
47,21.58700,顶端弹幕,25,0xe70012,0,28bd2edb,46154283766775813,低情商:这东西是墓里的
48,56.60200,滚动弹幕,25,0xffffff,0,bcb3be5a,46153379702898691,工地套装
49,11.15100,滚动弹幕,25,0xffffff,0,e97b63ff,46119456055230467,哈哈哈哈哈哈哈哈哈哈
50,13.27500,滚动弹幕,25,0xffffff,0,87a72dc5,46117277651697669,紫金八宝夜光贴
51,34.42400,滚动弹幕,25,0xffffff,0,556abd,46110741636317189,哈哈哈哈
52,7.59100,滚动弹幕,25,0xffffff,0,20205834,46110051408543747,所以 说祖传的没几个是人话
53,33.76300,滚动弹幕,25,0xffffff,0,f7e96049,46104187311226883,又是个土夫子
54,22.75400,滚动弹幕,25,0xffffff,0,3a869589,46094419518029827,哈哈哈哈哈哈哈哈哈
55,28.82600,滚动弹幕,25,0xffffff,0,a654349e,46087150969552899,地府哈哈哈哈哈哈哈哈哈哈
56,62.32800,滚动弹幕,25,0xffffff,0,38701424,46079068619145221,哈哈
57,15.80500,滚动弹幕,25,0xffffff,0,39de8073,46073235725877251,阴间视频 
58,25.69900,滚动弹幕,25,0xffffff,0,541f14f,46072168730591237,现传的，还在洞里呢
59,65.78200,滚动弹幕,25,0xfef102,0,56de411e,46070853656903685,最后问一下，祖传怎么解释
60,64.74800,滚动弹幕,25,0xffffff,0,31251812,46069608383250435,手艺贾
61,36.92200,滚动弹幕,25,0xffffff,0,d0c91998,46067080493531143,哈哈哈
62,25.92200,滚动弹幕,25,0xffffff,0,d0c91998,46067074701721603,这个老师太逗了
63,59.23800,滚动弹幕,25,0xffffff,0,e78157fe,46062983037583363,哈哈哈哈哈哈哈哈哈哈哈哈
64,62.86700,滚动弹幕,25,0xffffff,0,b26d5272,46045811259736067,八万！
65,58.01900,滚动弹幕,25,0xe70012,0,85eedf4,46040702835490823,手艺贾梦幻联动
66,56.41600,滚动弹幕,25,0xffffff,0,76397967,46032998411272195,好家伙梦幻联动
67,57.33900,滚动弹幕,25,0xffffff,0,713aefb3,46031081409871875,摸多了不长个
68,28.29900,滚动弹幕,25,0xffffff,0,bdea28c5,46030501305647109,跟上道嘛
69,69.37700,滚动弹幕,25,0xffffff,0,c3f4692e,46030264834457667,馋赤贫
70,56.55400,滚动弹幕,25,0xffffff,0,bb2d5fca,46030202857848899,现代工业的残次品哈哈
71,56.33900,滚动弹幕,25,0xffffff,0,13a54b46,46027437523861509,摸多不长个儿
72,4.41600,滚动弹幕,25,0xffffff,0,89ceb2b3,46027225293651971,现场直播
73,30.86800,滚动弹幕,25,0xffffff,0,cadc460d,46025840240099335,哈哈哈哈哈
74,34.05300,滚动弹幕,25,0xffffff,0,4641bf9e,46024828103163907,挺上道小伙
75,36.71100,滚动弹幕,25,0xffffff,0,1bcac198,46021560931188739,大哥传老弟 理论上也算祖传
76,12.86700,滚动弹幕,25,0xffffff,0,9616109,46018638607024135,哈哈哈哈哈
77,14.43700,滚动弹幕,25,0xffffff,0,d810c6fe,46018386887442437,小粉灯
78,33.29900,滚动弹幕,25,0xffffff,0,bf6186bf,46017516042977285,自己家祖坟挖了？
79,53.99900,滚动弹幕,25,0xffffff,0,41b3ab6,46017105212997637,份量足
80,61.41700,滚动弹幕,25,0xffffff,0,f93681df,46016032515031043,可可
81,9.89900,滚动弹幕,25,0xffffff,0,bdf82618,46007834129203203,哈哈哈哈哈哈哈哈哈哈
82,59.09100,滚动弹幕,25,0xffffff,0,12fc77b6,45999879096369159,哈哈哈哈哈哈哈哈现代工业的残次品
83,17.77600,滚动弹幕,25,0xffffff,0,36cb85ba,45999339157848069,哈哈哈哈哈哈哈
84,8.09900,滚动弹幕,25,0xffffff,0,93acc06d,45994209916747783,张三听了李四的话笑死了该怎么判  急
85,64.33900,滚动弹幕,25,0xffffff,0,3e32d01d,45994012515500039,梦幻联动 
86,31.00400,滚动弹幕,25,0xffffff,0,b3dd6a04,45988137757835269,哈哈哈
87,31.93900,滚动弹幕,25,0xffffff,0,525b8ddd,45986458765361157,大理石
88,45.41900,滚动弹幕,25,0xfef102,0,24ea8027,45985209969541127,工地三件套
89,27.88200,滚动弹幕,25,0xffffff,0,9ec69a6a,45982478905638915,老传家宝了
90,10.94300,滚动弹幕,25,0xffffff,0,8f5c4f3b,45980845398294533,哈哈哈哈哈哈哈哈哈
91,58.65900,滚动弹幕,25,0xffffff,0,210c442f,45975267780329477,现代工业的残翅品
92,10.22000,滚动弹幕,25,0xffffff,0,e87042b3,45937619781550083,哈哈哈哈哈哈哈哈哈
93,38.02900,滚动弹幕,25,0xffffff,0,67c40085,45933834165813253,工地老头是你祖上
94,31.68700,滚动弹幕,25,0xffffff,0,67c40085,45933825704329223,上周的
95,8.21400,滚动弹幕,25,0xffffff,0,67c40085,45933807826108421,整点阳间的东西吧
96,11.56800,滚动弹幕,25,0xffffff,0,41288e46,45932910858469381,哈哈哈哈哈哈哈
97,24.56700,滚动弹幕,25,0xffffff,0,3312c8cc,45928473251282951,阴间滤镜
98,11.04400,滚动弹幕,25,0xffffff,0,f1020959,45908383605194755,哈哈哈哈哈哈哈哈
99,35.95600,滚动弹幕,25,0xffffff,0,fcd698c0,45906648167874567,哈哈哈哈哈哈哈哈哈哈哈哈哈
100,10.45700,滚动弹幕,25,0xffffff,0,fcd698c0,45906634712023047,是哈哈哈哈哈哈哈哈哈
101,74.80000,滚动弹幕,25,0xffffff,0,fb018f06,45905279519817731,哈哈哈哈哈
102,62.46800,滚动弹幕,25,0xffffff,0,c0413b84,45901211651014661,哈哈哈哈
103,12.14400,滚动弹幕,25,0xffffff,0,4a2d7f63,45900393414656007,客户回访
104,55.47000,滚动弹幕,25,0xffffff,0,c4c87d53,45892414920982535,董事长好
105,62.74000,滚动弹幕,25,0xffffff,0,e988120f,45888405997355013,摸多了不长个
106,11.35600,滚动弹幕,25,0xffffff,0,66eddaa2,45883742399496197,哈哈哈哈哈
107,15.82000,滚动弹幕,25,0xffffff,0,d38bd619,45863087576711175,董事长
108,58.89900,滚动弹幕,25,0xffffff,0,98e0ad5e,45854227525795847,梦幻联动
109,20.18200,滚动弹幕,25,0xffffff,0,6a6517c,45847128611225603,阴曹地府
110,7.57100,滚动弹幕,25,0xffffff,0,71dfe12a,45842773844688903,哈哈哈
111,27.37900,滚动弹幕,25,0xffffff,0,a2c19d0f,45838843420606467,祖传代土的
112,18.32400,滚动弹幕,25,0xffffff,0,b35a7254,45837460468924423,哈哈哈哈哈哈哈哈啊哈哈哈
113,60.39800,滚动弹幕,25,0xffffff,0,36770f06,45814091774689287,做旧的，渍
114,7.07000,滚动弹幕,25,0xffffff,0,c1a1ff49,45813212823158791,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
115,42.22600,滚动弹幕,25,0xffffff,0,ecf6e96,45802641698062341,嚯哈哈哈哈哈
116,14.76000,滚动弹幕,25,0xffffff,0,7eea93d4,45801233364549639,哈哈哈哈哈哈哈哈哈
117,14.16900,滚动弹幕,25,0xffffff,0,8669b0b4,45794126361788421,哈哈哈哈哈哈
118,37.23900,滚动弹幕,25,0xffffff,0,877d5222,45788097586659333,祖传三天
119,57.85500,滚动弹幕,25,0xffffff,0,24909f8a,45786736647733251,铜镍合金带点铅
120,11.29900,滚动弹幕,25,0xffffff,0,5a682b4f,45779862434086919,我笑死了我笑的邻居过来打我
121,58.41900,顶端弹幕,25,0xe70012,0,f6594752,45766638208811013,手艺贾：还短指头
122,17.55900,滚动弹幕,25,0xffffff,0,47ca377a,45763738073038853,紫光阁
123,11.96800,滚动弹幕,25,0xffffff,0,4c2bd381,45762189925548037,哈哈哈哈哈哈哈哈
124,16.66900,滚动弹幕,25,0xffffff,0,a98cebf8,45758914376499207,瓦蓝瓦蓝
125,19.63000,滚动弹幕,25,0xffffff,0,a6303aed,45755576889638919,哈哈哈哈哈哈哈哈哈哈哈哈哈
126,5.73900,滚动弹幕,25,0xffffff,0,385f1dcb,45745360916709383,阴间玩意儿
127,20.38500,滚动弹幕,25,0xffffff,0,34a27597,45737059393994759,我尼玛笑抽了
128,12.40100,滚动弹幕,25,0xffffff,0,34a27597,45737055242682371,哈哈哈哈哈哈哈
129,25.87900,滚动弹幕,25,0xffffff,0,606f0b4c,45721077154840579,地府啊我去
130,7.40100,滚动弹幕,25,0xffffff,0,c0339ce0,45712954226638851,哈哈哈哈哈哈哈
131,11.18400,滚动弹幕,25,0xffffff,0,52136aee,45711832959680515,哈哈哈哈哈哈哈哈
132,30.62000,滚动弹幕,25,0xffffff,0,c7088b60,45709129867067399,哈哈哈哈
133,10.84500,滚动弹幕,25,0xffffff,0,c7088b60,45709119503990791,哈哈哈哈哈
134,11.54000,滚动弹幕,25,0xffffff,0,40ef0350,45704506201079813,还在墓室里呢
135,65.69800,滚动弹幕,25,0xffffff,0,f4fd233f,45679563699650565,工地套装
136,8.91100,滚动弹幕,25,0xffffff,0,f4fd233f,45679523560161287,哈哈哈哈
137,58.38700,滚动弹幕,25,0xffffff,0,e3e8c03a,45679056619307015,工地套装
138,7.06000,滚动弹幕,25,0xffffff,0,b061fbda,45678359987355653,地府看东西我笑拉了哈哈哈哈哈哈哈哈哈哈
139,65.78300,滚动弹幕,25,0xffffff,0,c4b7e0fd,45677939855982595,梦幻联动
140,11.49900,滚动弹幕,25,0xffffff,0,b0e4554,45677303137042435,哈哈哈哈哈哈哈哈哈哈笑死我了
141,20.78500,滚动弹幕,25,0xffffff,0,f7380990,45676858386153475,妈耶
142,32.58800,滚动弹幕,25,0xffffff,0,2aa8a644,45676344164483075,快进到直播大粽子
143,28.09900,滚动弹幕,25,0xffffff,0,6bf911,45674716493512707,哈哈哈哈哈
144,14.13100,滚动弹幕,25,0xffffff,0,7308683a,45673701991514119,哈哈哈哈哈哈
145,22.74300,滚动弹幕,25,0xffffff,0,eff84ca4,45673575319339013,哈哈哈哈哈哈
146,42.86200,滚动弹幕,25,0xffffff,0,bd5b274,45672668639264771,梅开n度
147,1.79700,顶端弹幕,25,0xfef102,0,9fe39dd1,45672148648329221,这是在墓里直播吧
148,66.96000,顶端弹幕,25,0xfef102,0,9fe39dd1,45672120121819139,八万
149,29.88700,滚动弹幕,25,0xffffff,0,b25d879b,45669945361039367,祖传的：刚挖
150,24.63800,滚动弹幕,25,0xffffff,0,778c4dea,45669935740878853,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
151,20.26600,滚动弹幕,25,0xffffff,0,18c0b373,45669313377468419,情趣
152,33.86600,滚动弹幕,25,0xffffff,0,fa800113,45669077575270405,呵呵又祖传
153,58.77900,滚动弹幕,25,0xffffff,0,a4471a3b,45664947246465031,梦幻联动
154,63.96500,滚动弹幕,25,0xffffff,0,a0956bb0,45664901415829507,现代工业残次品
155,60.13500,滚动弹幕,25,0xffffff,0,7380db00,45664363044405253,老手艺贾了
156,4.58000,滚动弹幕,25,0xffffff,0,165e3409,45664009397469189,哈哈哈哈哈哈哈哈哈哈哈
157,23.43500,滚动弹幕,25,0xffffff,0,5bbddff5,45663087997485061,哈哈哈哈哈哈哈
158,14.52000,滚动弹幕,25,0xffffff,0,d76e34ac,45658826415800323,哈哈哈哈哈哈哈哈哈哈
159,70.20800,滚动弹幕,25,0xffffff,0,2762f8cc,45656697411207175,现代工艺的残次品
160,11.74100,滚动弹幕,25,0xffffff,0,76e9992e,45653920529776647,哈哈哈哈哈
161,44.79900,滚动弹幕,25,0xffffff,0,3bde2a58,45636728031543303,魔法打败魔法
162,7.30300,滚动弹幕,25,0xffffff,0,b767b3c,45633508691410949,现场鉴宝
163,59.01900,滚动弹幕,25,0xffffff,0,6044c1d5,45633269586722823,梦幻联动
164,10.84200,滚动弹幕,25,0xffffff,0,634331f1,45633184867549189,哈哈哈
165,67.52100,滚动弹幕,25,0xffffff,0,f5427fe0,45632818051022855,哈哈哈哈哈哈
166,58.68100,滚动弹幕,25,0xffffff,0,f1264fdb,45632686223523843,梦幻联动
167,12.03900,滚动弹幕,25,0xffffff,0,ad255aaa,45632443478179847,哈哈哈哈哈哈
168,13.33800,滚动弹幕,25,0xffffff,0,433f3fd3,45631770308640773,哈哈哈哈
169,67.57900,滚动弹幕,25,0xffffff,0,375c2a05,45630293403500549,真元宝没那个鼓包，看着这个都知道了
170,25.39200,滚动弹幕,25,0xffffff,0,e66a35f7,45628357885296647,经典祖传
171,23.71600,滚动弹幕,25,0xffffff,0,895644e2,45626433186824195,哈哈哈哈哈哈哈哈哈哈哈
172,17.99700,滚动弹幕,25,0xffffff,0,895644e2,45626430169022469,哈哈哈哈哈哈哈哈
173,13.22600,滚动弹幕,25,0xffffff,0,895644e2,45626427663974405,哈哈哈哈哈哈哈哈哈
174,24.42500,滚动弹幕,25,0xffffff,0,5a3b0f05,45625347617587203,爱是一道光
175,1.47900,顶端弹幕,25,0xfef102,0,d0b66d94,45623531837849603,阴间鉴定
176,66.01400,滚动弹幕,25,0xffffff,0,e82b1aeb,45620180307410947,哈哈哈哈哈哈哈哈哈哈
177,32.46400,滚动弹幕,25,0xffffff,0,e82b1aeb,45620162647818243,哈哈哈哈哈哈哈哈
178,9.55300,滚动弹幕,25,0xffffff,0,658ba2f6,45620084881752069,哈哈哈哈
179,37.59000,滚动弹幕,25,0xffffff,0,2aa8a644,45619984961896455,祖传节目
180,28.27900,滚动弹幕,25,0xffffff,0,d1e412ff,45617808637689863,祖传
181,9.78000,滚动弹幕,25,0xffffff,0,9a913296,45617646674116613,哈哈哈哈哈哈哈哈
182,8.51000,滚动弹幕,25,0xffffff,0,a7cc3a4e,45617142305390595,wc
183,53.99300,滚动弹幕,25,0xffffff,0,51c7415c,45616883689848839,好家伙
184,12.66900,滚动弹幕,25,0xffffff,0,d83499b,45615834607910915,哈哈哈哈哈
185,8.08400,滚动弹幕,25,0xffffff,0,102a5ccc,45609605455675399,d f
186,44.14000,滚动弹幕,25,0xffffff,0,571b1d,45609028391272519,哈哈哈哈哈哈哈哈哈哈哈
187,10.34000,滚动弹幕,25,0xffffff,0,1c7f2da5,45591672552685571,哈哈哈哈哈哈
188,33.93900,滚动弹幕,25,0xffffff,0,5bcb6df0,45589845066121223,哈哈哈哈哈
189,24.79000,顶端弹幕,25,0xffffff,0,653f1bf8,45589227478974467,《祖传的》
190,19.01900,滚动弹幕,25,0xffffff,0,2a40bfc4,45587116110381059,清华紫光
191,25.44000,滚动弹幕,25,0xffffff,0,3a0a8825,45584656859398147,《祖传的》
192,16.38100,滚动弹幕,25,0xffffff,0,91817fe5,45583354646495235,哈哈哈哈哈
193,13.47500,滚动弹幕,25,0xffffff,0,d81b4c77,45581275948384263,哈哈哈哈哈哈哈哈哈哈哈哈
194,14.19900,滚动弹幕,25,0xffffff,0,64e80d5c,45577475855482885,家住消毒柜
195,64.10200,滚动弹幕,25,0xffffff,0,37ef5f47,45577390953332739,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
196,18.10400,滚动弹幕,25,0xffffff,0,37ef5f47,45577366809346055,哈哈哈哈哈哈哈哈哈哈哈哈
197,6.71800,滚动弹幕,25,0xffffff,0,37ef5f47,45577359517024263,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
198,21.37400,滚动弹幕,25,0xffffff,0,7b980e2,45574584783077379,哈哈哈哈哈哈哈哈哈哈哈地府
199,76.09600,滚动弹幕,25,0xffffff,0,d5396669,45571414232137731,拔万
200,27.15900,滚动弹幕,25,0xffffff,0,35adb358,45569356632424451,往开了想，你很安全
201,8.61900,滚动弹幕,25,0xffffff,0,7f05e5ae,45567711692455941,哈哈哈哈，笑死我了
202,44.49600,滚动弹幕,25,0xffffff,0,7bdc5e98,45567281972903941,传的时候带土传的
203,3.67000,滚动弹幕,25,0xffffff,0,c0e0eed7,45563388954148871,手艺贾套装
204,28.36300,滚动弹幕,25,0xffffff,0,125a971f,45561211678883843,灭蚊灯
205,62.65700,滚动弹幕,25,0xffffff,0,93b742d3,45550038392766471,哈哈哈
206,67.94300,滚动弹幕,25,0xffffff,0,11ea8240,45540557572276229,.
207,60.29900,滚动弹幕,25,0xffffff,0,11ea8240,45540553103769605,老贾说的对。
208,20.07700,滚动弹幕,25,0xffffff,0,5b1fb614,45540379305967621,哈哈哈哈哈哈哈哈哈哈哈
209,14.75100,滚动弹幕,25,0xffffff,0,6b9ed95f,45538411094736899,哈哈哈哈哈哈哈哈哈哈
210,9.79000,滚动弹幕,25,0xffffff,0,3838bdd8,45537590466576391,哈哈哈哈哈哈
211,8.67500,滚动弹幕,25,0xffffff,0,2b01918a,45535785376546819,地府看的 肯定都是真的（doge）
212,27.84100,滚动弹幕,25,0xffffff,0,310fccdb,45534952456978439,施工现场
213,25.73900,滚动弹幕,25,0xffffff,0,ed6124c,45531279009513475,是祖传的，祖传的手艺
214,57.97900,滚动弹幕,25,0xffffff,0,d7622ff3,45528538203291651,草梦幻联动哈哈哈哈
215,17.01900,滚动弹幕,25,0xffffff,0,f2946f02,45528119344889859,还在地下墓穴中。
216,20.47800,滚动弹幕,25,0xffffff,0,ac1f84c6,45527388333801477,我头笑掉
217,10.30200,滚动弹幕,25,0xffffff,0,e1f2ae4e,45526480645521413,笑死我了
218,5.22000,滚动弹幕,25,0xffffff,0,60ced979,45524223774425095,不是，我是在盗墓
219,41.68400,滚动弹幕,25,0xffffff,0,3b8627d6,45523353898844165,这怕不是在墓里鉴宝
220,33.42100,滚动弹幕,25,0xffffff,0,e89a92ff,45523161361940483,哈哈哈哈
221,8.01900,滚动弹幕,25,0xffffff,0,7814304b,45523123085770755,地府哈哈哈哈哈哈哈
222,19.21600,滚动弹幕,25,0xffffff,0,20759687,45521816995233797,逗死我了
223,32.35900,滚动弹幕,25,0xffffff,0,771e2e26,45520525898809351,崭新出土
224,17.25500,滚动弹幕,25,0xffffff,0,128019c2,45495844667916295,一开灯，这水泥的啊
225,33.55500,滚动弹幕,25,0xffffff,0,7040c0eb,45494596186144773,问就祖传
226,37.40900,滚动弹幕,25,0xffffff,0,c36d9af,45494016307888131,水泥
227,9.70500,滚动弹幕,25,0xffffff,0,10e94905,45493882462404615,哈哈哈哈哈
228,6.45900,滚动弹幕,25,0xffffff,0,ff913165,45491214141620227,哎呀保有这可不心大呀
229,11.37500,滚动弹幕,25,0xffffff,0,ef7587a7,45490319670640645,哈哈哈哈哈
230,62.29600,滚动弹幕,25,0xffffff,0,a73dd12e,45489289317318663,老头乐
231,63.91100,滚动弹幕,25,0xffffff,0,6a9f80f4,45486215841447941,集团产品 工地套
232,68.93800,顶端弹幕,25,0xe70012,0,49e5b127,45486166254813187,不跟你多要 八万
233,12.46900,滚动弹幕,25,0xffffff,0,a3524310,45484698940997639,哈哈哈哈
234,11.34500,滚动弹幕,25,0xffffff,0,b356c493,45480225557446663,哈哈哈哈哈哈哈哈
235,32.33900,滚动弹幕,25,0xffffff,0,586af0d9,45479805475880967,水磨石？哈哈哈
236,76.09600,滚动弹幕,25,0xffffff,0,7521bf2e,45477412640653317,送带的
237,27.63600,滚动弹幕,25,0xffffff,0,4ac1ae92,45476143219343367,今年
238,9.27100,滚动弹幕,25,0xffffff,0,438219f0,45473751742021635,哈哈哈哈哈哈哈
239,10.55400,滚动弹幕,25,0xffffff,0,ba6b2823,45472633774931975,哈哈哈哈
240,21.75000,滚动弹幕,25,0xffffff,0,9b56dec4,45471885462863877,hhhhh
241,8.93600,滚动弹幕,25,0xffffff,0,eb6f5ff6,45470340152295429,哈哈哈哈哈哈
242,9.19200,滚动弹幕,25,0xffffff,0,1baaf22f,45456233302327303,哈哈哈哈哈哈哈
243,14.41600,滚动弹幕,25,0xffffff,0,8e36ba2f,45455801421135877,哈哈
244,22.50800,滚动弹幕,25,0xffffff,0,e67c6385,45454445274726403,哈哈哈哈哈哈
245,58.65900,滚动弹幕,25,0xffffff,0,2c533d38,45452320432979973,梦幻联动草
246,42.86800,滚动弹幕,25,0xffffff,0,28d7838d,45450497176895491,这些是海货吧
247,44.71900,滚动弹幕,25,0xffffff,0,efcf0cd,45448034483437575,哈哈哈哈哈哈哈哈很年轻哈哈哈哈哈哈
248,15.14500,滚动弹幕,25,0xffffff,0,efcf0cd,45448019000688643,哈哈哈哈哈哈哈哈哈哈
249,53.90700,滚动弹幕,25,0xffffff,0,f9a4677e,45446774097707011,史诗级联动
250,61.83200,滚动弹幕,25,0xffffff,0,9361b5b0,45437467226013703,@洗手up
251,38.73900,滚动弹幕,25,0xffffff,0,8ef67c66,45435520889651205,工地老头
252,15.76900,滚动弹幕,25,0xffffff,0,37500f08,45432677966807045,阴间滤镜
253,58.15900,滚动弹幕,25,0xffffff,0,37d7e217,45431184385114117,哈哈哈哈哈哈哈不长个
254,44.62600,滚动弹幕,25,0xffffff,0,37d7e217,45431173370871813,哈哈哈哈哈
255,35.65700,滚动弹幕,25,0xffffff,0,bb3f9164,45430962747080707,作案现场直接连线
256,73.91700,滚动弹幕,25,0xffffff,0,a82b73f0,45430244646584327,拔万
257,49.54800,滚动弹幕,25,0xffffff,0,b56a560a,45429918771183619,危
258,57.39300,滚动弹幕,25,0xffffff,0,3cfc8c40,45425156292608071,啊哈
259,58.95400,滚动弹幕,25,0xffffff,0,f2710038,45424680094400515,工地三件套
260,24.11900,滚动弹幕,25,0xffffff,0,551953f6,45419927448846343,现场连线
261,20.35500,滚动弹幕,25,0xffffff,0,40b48cff,45418853355225091,掘墓现场
262,27.00000,滚动弹幕,25,0xe70012,0,d1490756,45413631878758407,停尸房吗
